date,run_local_time,issue_local_time,issued_day_utc,mae_forecast,mae_lstm,rmse_forecast,rmse_lstm,mae_improvement_lstm_vs_forecast,rmse_improvement_lstm_vs_forecast,avg_actual_wind_speed,avg_forecast_wind_speed,avg_lstm_wind_speed,n_points,details_csv,snapshot_csv,evaluation_type,data_source
2026-04-17,2026-06-09T11:09:24.580840+02:00,2026-04-15T07:02:16.943000+02:00,2026-04-15,1.643859649122807,1.9589777210563948,2.0555771993153984,2.2596872246298214,-0.31511807193358776,-0.20411002531442302,4.022807017543859,4.666666666666667,3.5987670992811522,24,next_day_wind_model/artifacts/daily_error_details/20260417_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260416-071706_target_20260417.csv,day_ahead_frozen,prediction_log
2026-04-18,2026-06-09T11:09:24.580840+02:00,2026-04-16T07:02:16.914000+02:00,2026-04-16,1.919298245614035,1.5363509318284823,2.3472668827854317,1.8573310695717555,0.3829473137855528,0.4899358132136762,3.6223684210526312,5.166666666666667,3.8470890124638877,24,next_day_wind_model/artifacts/daily_error_details/20260418_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260417-071709_target_20260418.csv,day_ahead_frozen,prediction_log
2026-04-19,2026-06-09T11:09:24.580840+02:00,2026-04-17T07:02:18.711000+02:00,2026-04-17,2.9512061403508767,2.8933154370701097,3.61725551403712,3.5149899240826414,0.05789070328076695,0.10226558995447865,6.46546052631579,7.333333333333333,7.076929678519567,24,next_day_wind_model/artifacts/daily_error_details/20260419_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260418-071708_target_20260419.csv,day_ahead_frozen,prediction_log
2026-04-20,2026-06-09T11:09:24.580840+02:00,2026-04-18T07:02:17.335000+02:00,2026-04-18,3.0361842105263155,2.905361015545694,3.8084030898929524,3.6619408272190888,0.13082319498062134,0.14646226267386364,4.838815789473684,7.625,7.433974047501882,24,next_day_wind_model/artifacts/daily_error_details/20260420_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260419-071712_target_20260420.csv,day_ahead_frozen,prediction_log
2026-04-21,2026-06-09T11:09:24.580840+02:00,2026-04-19T07:02:18.231000+02:00,2026-04-19,1.931030701754386,1.2859071007946081,2.337142448002047,1.672148044883234,0.6451236009597778,0.6649944031188131,6.152302631578948,7.791666666666667,6.605521321296692,24,next_day_wind_model/artifacts/daily_error_details/20260421_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260420-071713_target_20260421.csv,day_ahead_frozen,prediction_log
2026-04-22,2026-06-09T11:09:24.580840+02:00,2026-04-20T07:02:18.394000+02:00,2026-04-20,2.6536184210526312,1.513111217712101,2.947573663358282,1.8627884101952654,1.1405072033405301,1.0847852531630164,5.096381578947369,7.541666666666667,5.980398048957189,24,next_day_wind_model/artifacts/daily_error_details/20260422_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260421-071715_target_20260422.csv,day_ahead_frozen,prediction_log
2026-04-23,2026-06-09T11:09:24.580840+02:00,2026-04-21T07:02:19.719000+02:00,2026-04-21,1.368969298245614,1.4856393087328525,1.621831647375411,2.0180076638530444,-0.11667001048723846,-0.39617601647763334,6.656030701754386,6.708333333333333,5.520745486021042,24,next_day_wind_model/artifacts/daily_error_details/20260423_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260422-071713_target_20260423.csv,day_ahead_frozen,prediction_log
2026-04-24,2026-06-09T11:09:24.580840+02:00,2026-04-22T07:02:18.152000+02:00,2026-04-22,1.9583333333333333,2.1450945337613425,2.274516325559229,2.4930977825491207,-0.18676120042800926,-0.21858145698989162,6.291666666666667,7.083333333333333,5.626095990339915,24,next_day_wind_model/artifacts/daily_error_details/20260424_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260423-071719_target_20260424.csv,day_ahead_frozen,prediction_log
2026-04-25,2026-06-09T11:09:24.580840+02:00,2026-04-23T07:02:19.180000+02:00,2026-04-23,1.6110745614035087,1.0553749946387192,1.8440624784112918,1.245517263584392,0.5556995667647895,0.5985452148268997,4.033662280701755,5.208333333333333,3.3810459400216737,24,next_day_wind_model/artifacts/daily_error_details/20260425_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260424-071721_target_20260425.csv,day_ahead_frozen,prediction_log
2026-04-26,2026-06-09T11:09:24.580840+02:00,2026-04-24T07:02:19.350000+02:00,2026-04-24,1.7161184210526315,1.2922332762626179,2.0300562850113155,1.5323014585685095,0.4238851447900136,0.497754826442806,4.658881578947368,6.083333333333333,4.5638567507267,24,next_day_wind_model/artifacts/daily_error_details/20260426_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260425-071724_target_20260426.csv,day_ahead_frozen,prediction_log
