sector,dir_min_deg,dir_max_deg,n_points,forecast_mae,superlocal_mae,mae_gain_vs_harmonie,forecast_bias_pred_minus_actual,superlocal_bias_pred_minus_actual,bias_adjustment_vs_harmonie
N,337.5,22.5,2986,1.687287150209516,1.721620158182587,-0.03433300797307104,0.5774320307693153,-0.9175757128816909,-1.4950077436510063
NE,22.5,67.5,2834,2.8254554944986916,1.4532190500821027,1.3722364444165889,2.419009952273333,-0.6110675806095198,-3.030077532882853
E,67.5,112.5,2128,3.081669640652624,1.2350791908382035,1.8465904498144206,2.8044804451363614,-0.13622553564359202,-2.9407059807799536
SE,112.5,157.5,874,2.4513556745822194,1.269591725433031,1.1817639491491885,2.059969600701866,-0.20406799677932075,-2.264037597481187
S,157.5,202.5,1514,1.944900565821966,1.6692108429242616,0.27568972289770444,0.7443534137226343,-0.6162418287261762,-1.3605952424488104
SW,202.5,247.5,3231,1.7675002015311354,1.7885203505384903,-0.021020149007354938,0.2180441304176827,-0.6330321984446616,-0.8510763288623443
W,247.5,292.5,3962,1.5636975061508125,1.3757654170887612,0.18793208906205128,0.40577515619161253,-0.09051315502715607,-0.4962883112187686
NW,292.5,337.5,3643,1.4524711215939736,1.5302985453003743,-0.07782742370640072,0.35525981598380507,-0.4771016802832964,-0.8323614962671015
