sector,n_points,forecast_mae,forecast_bias_pred_minus_actual,challenger_mae,challenger_bias_pred_minus_actual,champion_mae,champion_bias_pred_minus_actual,champion_mae_gain_vs_forecast,challenger_mae_gain_vs_forecast,challenger_mae_gain_vs_champion
W,209,1.531850819011295,1.09925770527823,1.2708494232244976,0.12560103135404777,1.2255168276652468,0.4284902223812832,0.3063339913460481,0.2610013957867974,-0.04533259555925073
NW,142,1.6401905491398454,0.6396531234404773,1.3721984058512358,-0.2948324943146225,1.3328345389982985,-0.05591034184489209,0.3073560101415469,0.26799214328860965,-0.039363866852937246
N,62,1.6350170181042722,1.1003395664475615,1.2730248502786121,-0.1574252292233449,1.2235283276753832,0.03948716546365433,0.411488690428889,0.3619921678256601,-0.0494965226032289
NE,73,3.260593509132212,3.220410855504773,0.8503928853174917,0.4582214344736698,0.9891383655032167,0.7370325046896489,2.2714551436289954,2.4102006238147204,0.13874548018572497
E,145,3.3877798408496176,3.332722372216075,0.7665825990918633,0.1827524373737469,0.841603957369331,0.4148660859800517,2.5461758834802866,2.6211972417577543,0.0750213582774677
SE,47,2.291553122235438,2.291553122235438,0.6906626261188819,-0.024729397544135747,0.7368095332539464,0.42922579292753743,1.5547435889814918,1.6008904961165564,0.04614690713506453
S,132,1.5757872899900183,0.599179112361838,1.7473506686943894,-1.1282146301664433,1.4992268658604873,-0.6430816047979712,0.07656042412953101,-0.1715633787043711,-0.24812380283390212
SW,218,1.694259335578928,0.40726552049142684,1.903501181544161,-1.0716026774449932,1.6641443939321001,-0.4753064311203158,0.03011494164682782,-0.209241845965233,-0.2393567876120608
