log_id,timestamp,AverageWind,MaxWind,MinWind,WaterTemperatuur,AccuTemperatuur,row_id,longitude,latitude,WindDirection,iso_time
313896,1761091090000,8,10,7,0,13.0,463,0,0,204,2025-10-21T23:58:10Z
313897,1761091450000,6,8,4,0,13.0,464,0,0,197,2025-10-22T00:04:10Z
313898,1761091630000,7,9,5,0,13.0,465,0,0,193,2025-10-22T00:07:10Z
313899,1761091810000,7,8,6,0,13.0,466,0,0,193,2025-10-22T00:10:10Z
313901,1761092890000,7,8,6,0,13.0,467,0,0,205,2025-10-22T00:28:10Z
313902,1761093071000,6,8,5,0,13.0,468,0,0,208,2025-10-22T00:31:11Z
313903,1761094330000,5,6,5,0,13.5,469,0,0,206,2025-10-22T00:52:10Z
313904,1761094870000,5,7,4,0,13.0,470,0,0,210,2025-10-22T01:01:10Z
313905,1761095230000,5,7,3,0,13.0,471,0,0,211,2025-10-22T01:07:10Z
313906,1761095770000,4,7,3,0,13.0,472,0,0,211,2025-10-22T01:16:10Z
313908,1761096310000,5,8,4,0,13.0,473,0,0,207,2025-10-22T01:25:10Z
313909,1761096670000,5,7,4,0,13.0,474,0,0,207,2025-10-22T01:31:10Z
313910,1761097211000,5,6,3,0,13.5,475,0,0,217,2025-10-22T01:40:11Z
313911,1761097390000,7,10,3,0,13.5,476,0,0,219,2025-10-22T01:43:10Z
313912,1761097570000,5,7,4,0,13.5,477,0,0,213,2025-10-22T01:46:10Z
313913,1761097931000,7,11,5,0,13.5,478,0,0,225,2025-10-22T01:52:11Z
313914,1761098111000,6,8,4,0,13.5,479,0,0,224,2025-10-22T01:55:11Z
313915,1761098651000,5,7,4,0,13.5,480,0,0,233,2025-10-22T02:04:11Z
313916,1761099010000,6,10,4,0,13.5,1,0,0,231,2025-10-22T02:10:10Z
313917,1761099371000,6,7,4,0,13.5,2,0,0,235,2025-10-22T02:16:11Z
313918,1761099551000,6,10,3,0,13.5,3,0,0,229,2025-10-22T02:19:11Z
313919,1761100091000,6,7,5,0,13.5,4,0,0,238,2025-10-22T02:28:11Z
313920,1761100271000,7,10,5,0,13.5,5,0,0,250,2025-10-22T02:31:11Z
313921,1761100991000,7,10,6,0,13.5,6,0,0,244,2025-10-22T02:43:11Z
313922,1761101531000,6,7,5,0,13.5,7,0,0,251,2025-10-22T02:52:11Z
313923,1761102071000,7,9,5,0,13.5,8,0,0,232,2025-10-22T03:01:11Z
313924,1761102251000,7,11,5,0,13.5,9,0,0,245,2025-10-22T03:04:11Z
313925,1761102431000,7,8,5,0,13.5,10,0,0,240,2025-10-22T03:07:11Z
313926,1761102611000,7,9,6,0,13.5,11,0,0,245,2025-10-22T03:10:11Z
313927,1761102971000,6,7,5,0,13.5,12,0,0,245,2025-10-22T03:16:11Z
313928,1761103151000,6,10,4,0,13.5,13,0,0,254,2025-10-22T03:19:11Z
313929,1761103871000,6,7,4,0,13.5,14,0,0,240,2025-10-22T03:31:11Z
313930,1761104232000,6,8,4,0,13.5,15,0,0,254,2025-10-22T03:37:12Z
313931,1761104771000,7,9,4,0,13.5,16,0,0,247,2025-10-22T03:46:11Z
313932,1761104951000,7,9,5,0,13.5,17,0,0,254,2025-10-22T03:49:11Z
313933,1761105132000,7,8,4,0,13.5,18,0,0,253,2025-10-22T03:52:12Z
313934,1761105311000,6,10,5,0,13.5,19,0,0,249,2025-10-22T03:55:11Z
313935,1761105851000,8,10,7,0,13.5,20,0,0,247,2025-10-22T04:04:11Z
313936,1761107292000,7,10,5,0,13.5,21,0,0,250,2025-10-22T04:28:12Z
313937,1761107832000,7,9,5,0,13.5,22,0,0,245,2025-10-22T04:37:12Z
313938,1761108192000,7,9,6,0,13.5,23,0,0,261,2025-10-22T04:43:12Z
313939,1761108372000,7,9,5,0,13.5,24,0,0,245,2025-10-22T04:46:12Z
313940,1761108732000,7,9,5,0,13.5,25,0,0,253,2025-10-22T04:52:12Z
313941,1761108912000,6,8,5,0,13.5,26,0,0,241,2025-10-22T04:55:12Z
313942,1761109092000,6,8,4,0,13.5,27,0,0,229,2025-10-22T04:58:12Z
313943,1761109272000,6,8,5,0,13.5,28,0,0,237,2025-10-22T05:01:12Z
313944,1761109632000,4,6,3,0,13.5,29,0,0,234,2025-10-22T05:07:12Z
313945,1761109812000,5,7,4,0,13.5,30,0,0,240,2025-10-22T05:10:12Z
313946,1761110532000,6,8,5,0,13.5,31,0,0,266,2025-10-22T05:22:12Z
313947,1761110712000,6,7,5,0,13.5,32,0,0,264,2025-10-22T05:25:12Z
313948,1761111072000,6,7,5,0,13.5,33,0,0,259,2025-10-22T05:31:12Z
313949,1761111612000,6,10,3,0,13.5,34,0,0,267,2025-10-22T05:40:12Z
313950,1761111972000,6,8,4,0,13.5,35,0,0,250,2025-10-22T05:46:12Z
313951,1761112513000,6,7,4,0,13.5,36,0,0,251,2025-10-22T05:55:13Z
313952,1761113052000,4,5,3,0,13.5,37,0,0,241,2025-10-22T06:04:12Z
313953,1761113414000,4,5,3,0,13.5,38,0,0,241,2025-10-22T06:10:14Z
313954,1761113773000,5,7,3,0,13.5,39,0,0,237,2025-10-22T06:16:13Z
313955,1761113952000,4,6,3,0,13.5,40,0,0,237,2025-10-22T06:19:12Z
313956,1761114492000,5,7,4,0,13.5,41,0,0,236,2025-10-22T06:28:12Z
313957,1761114673000,5,7,3,0,13.5,42,0,0,249,2025-10-22T06:31:13Z
313958,1761115933000,4,6,3,0,13.5,43,0,0,233,2025-10-22T06:52:13Z
313959,1761116113000,5,7,4,0,13.5,44,0,0,246,2025-10-22T06:55:13Z
313960,1761116473000,5,7,4,0,13.5,45,0,0,250,2025-10-22T07:01:13Z
313961,1761116833000,4,6,3,0,13.5,46,0,0,249,2025-10-22T07:07:13Z
313962,1761117373000,4,6,3,0,13.0,47,0,0,249,2025-10-22T07:16:13Z
313963,1761118273000,5,6,3,0,13.0,48,0,0,241,2025-10-22T07:31:13Z
313964,1761118813000,5,7,3,0,13.0,49,0,0,229,2025-10-22T07:40:13Z
313965,1761119353000,5,7,4,0,13.0,50,0,0,240,2025-10-22T07:49:13Z
313966,1761119533000,5,6,3,0,13.0,51,0,0,237,2025-10-22T07:52:13Z
313967,1761119713000,4,6,3,0,13.0,52,0,0,232,2025-10-22T07:55:13Z
313968,1761120254000,6,8,5,0,14.0,53,0,0,235,2025-10-22T08:04:14Z
313969,1761120613000,6,7,4,0,14.0,54,0,0,238,2025-10-22T08:10:13Z
313970,1761121153000,4,5,3,0,14.0,55,0,0,236,2025-10-22T08:19:13Z
