timestamp,WindForecastAvr,WindForecastMax,Temperature,Pressure,WindDirection,Rain,RH,Clouds,low_cloud_cover,medium_cloud_cover,high_cloud_cover,cloud_base,global_radiation,iso_time
1767794400000,12,21,1.0,1001,216,0.0,92,99,98,29,25,183,0,2026-01-07T14:00:00Z
1767798000000,10,19,1.2,1001,204,0.0,95,67,67,0,0,150,0,2026-01-07T15:00:00Z
1767801600000,9,16,1.8,1001,210,0.0,95,100,100,12,0,1095,0,2026-01-07T16:00:00Z
1767805200000,10,17,1.9,1001,183,0.0,96,100,100,100,0,549,0,2026-01-07T17:00:00Z
1767808800000,8,15,2.2,1001,211,0.0,96,100,100,100,0,442,0,2026-01-07T18:00:00Z
1767812400000,10,17,4.8,1001,249,0.0,84,13,9,4,0,2188,0,2026-01-07T19:00:00Z
1767816000000,9,16,4.7,1002,257,0.0,86,100,100,86,0,610,0,2026-01-07T20:00:00Z
1767819600000,11,19,4.8,1002,269,0.0,85,100,100,10,0,610,0,2026-01-07T21:00:00Z
1767823200000,11,18,4.8,1002,261,0.0,84,100,100,0,10,734,0,2026-01-07T22:00:00Z
1767826800000,12,20,5.0,1002,262,0.0,83,100,100,0,93,610,0,2026-01-07T23:00:00Z
1767830400000,12,22,4.8,1002,272,0.1,85,100,100,0,49,609,0,2026-01-08T00:00:00Z
1767834000000,10,20,4.8,1002,271,0.0,82,100,100,0,1,670,0,2026-01-08T01:00:00Z
1767837600000,9,18,4.7,1003,264,0.0,82,100,100,0,0,943,0,2026-01-08T02:00:00Z
1767841200000,9,16,4.6,1003,254,0.0,83,100,100,0,28,734,0,2026-01-08T03:00:00Z
1767844800000,9,15,4.8,1003,263,0.0,85,100,100,1,55,497,0,2026-01-08T04:00:00Z
1767848400000,8,15,4.6,1003,258,0.0,86,100,100,2,8,444,0,2026-01-08T05:00:00Z
1767852000000,7,13,4.8,1003,242,0.0,85,100,100,0,25,497,0,2026-01-08T06:00:00Z
1767855600000,7,11,3.5,1004,194,0.0,87,100,100,3,61,443,0,2026-01-08T07:00:00Z
1767859200000,7,13,2.3,1004,195,0.0,92,100,100,0,100,442,142,2026-01-08T08:00:00Z
1767862800000,7,13,2.5,1004,197,0.0,88,100,100,0,100,495,32502,2026-01-08T09:00:00Z
