timestamp,WindForecastAvr,WindForecastMax,Temperature,Pressure,WindDirection,Rain,RH,Clouds,low_cloud_cover,medium_cloud_cover,high_cloud_cover,cloud_base,global_radiation,iso_time
1772478000000,4,6,10.5,1020,146,0,79,0,0,0,0,9999,0,2026-03-02T19:00:00Z
1772481600000,1,2,9.1,1020,81,0,83,0,0,0,0,9999,0,2026-03-02T20:00:00Z
1772485200000,4,6,8.8,1021,140,0,84,0,0,0,0,9999,0,2026-03-02T21:00:00Z
1772488800000,4,6,8.5,1021,160,0,84,18,0,0,18,9999,0,2026-03-02T22:00:00Z
1772492400000,4,6,7.5,1021,182,0,85,0,0,0,0,9999,0,2026-03-02T23:00:00Z
1772496000000,5,6,7.3,1022,170,0,83,0,0,0,0,9999,0,2026-03-03T00:00:00Z
1772499600000,4,5,6.7,1022,175,0,87,0,0,0,0,9999,0,2026-03-03T01:00:00Z
1772503200000,3,4,6.1,1022,196,0,86,0,0,0,0,9999,0,2026-03-03T02:00:00Z
1772506800000,5,6,6.1,1023,188,0,84,0,0,0,0,9999,0,2026-03-03T03:00:00Z
1772510400000,4,7,6.0,1023,203,0,86,0,0,0,0,9999,0,2026-03-03T04:00:00Z
1772514000000,3,5,5.7,1023,199,0,87,0,0,0,0,9999,0,2026-03-03T05:00:00Z
1772517600000,4,4,5.2,1024,174,0,87,0,0,0,0,9999,0,2026-03-03T06:00:00Z
1772521200000,3,6,5.5,1024,193,0,88,0,0,0,0,9999,40763,2026-03-03T07:00:00Z
1772524800000,2,5,7.5,1025,239,0,86,0,0,0,0,9999,43350,2026-03-03T08:00:00Z
1772528400000,3,7,10.0,1026,332,0,88,0,0,0,0,9999,58937,2026-03-03T09:00:00Z
1772532000000,3,7,11.6,1026,342,0,84,0,0,0,0,9999,41290,2026-03-03T10:00:00Z
1772535600000,2,7,12.6,1026,353,0,81,0,0,0,0,9999,5796,2026-03-03T11:00:00Z
1772539200000,1,6,14.3,1026,123,0,74,0,0,0,0,9999,58126,2026-03-03T12:00:00Z
1772542800000,8,14,13.5,1027,323,0,79,0,0,0,0,9999,26560,2026-03-03T13:00:00Z
1772546400000,7,14,11.3,1027,349,0,81,0,0,0,0,9999,6501,2026-03-03T14:00:00Z
1772550000000,6,13,12.3,1027,352,0,79,0,0,0,0,9999,51241,2026-03-03T15:00:00Z
1772553600000,6,12,12.6,1027,1,0,79,0,0,0,0,9999,47710,2026-03-03T16:00:00Z
1772557200000,8,14,12.0,1027,33,0,79,4,4,0,0,9999,6175,2026-03-03T17:00:00Z
1772560800000,7,14,10.5,1028,34,0,80,7,1,6,0,9999,21542,2026-03-03T18:00:00Z
1772564400000,6,11,9.5,1028,40,0,78,5,0,2,2,9999,21799,2026-03-03T19:00:00Z
1772568000000,6,10,8.4,1028,45,0,83,79,0,0,78,9999,21870,2026-03-03T20:00:00Z
1772571600000,6,11,7.6,1029,38,0,86,96,0,1,96,8882,21870,2026-03-03T21:00:00Z
1772575200000,7,12,7.0,1029,47,0,88,67,0,5,65,9999,21870,2026-03-03T22:00:00Z
1772578800000,7,12,6.8,1029,63,0,87,19,0,17,3,9999,21870,2026-03-03T23:00:00Z
1772582400000,6,11,6.4,1029,59,0,88,18,1,0,17,9999,21870,2026-03-04T00:00:00Z
1772586000000,7,11,6.0,1029,63,0,89,99,98,0,88,622,21870,2026-03-04T01:00:00Z
1772589600000,7,13,6.4,1029,75,0,87,100,100,5,92,622,21870,2026-03-04T02:00:00Z
1772593200000,6,13,6.6,1028,74,0,86,100,100,20,30,685,21870,2026-03-04T03:00:00Z
1772596800000,5,10,6.7,1028,81,0,85,100,100,0,22,750,21870,2026-03-04T04:00:00Z
1772600400000,5,10,6.7,1028,87,0,85,95,91,0,41,891,21870,2026-03-04T05:00:00Z
1772604000000,5,10,6.7,1028,79,0,85,99,99,0,0,820,21870,2026-03-04T06:00:00Z
1772607600000,5,9,7.0,1028,75,0,83,100,100,0,0,819,38161,2026-03-04T07:00:00Z
1772611200000,6,10,7.5,1028,83,0,80,99,99,0,81,892,31334,2026-03-04T08:00:00Z
1772614800000,6,11,8.3,1029,82,0,79,98,73,0,95,967,3118,2026-03-04T09:00:00Z
1772618400000,5,11,9.6,1028,101,0,78,95,90,0,44,1046,15618,2026-03-04T10:00:00Z
1772622000000,5,11,11.2,1028,112,0,78,89,89,0,1,1048,63645,2026-03-04T11:00:00Z
1772625600000,5,11,12.7,1028,124,0,78,90,90,0,0,1049,52548,2026-03-04T12:00:00Z
1772629200000,5,11,13.5,1027,125,0,76,56,56,0,0,9999,59880,2026-03-04T13:00:00Z
1772632800000,5,11,14.7,1027,128,0,72,0,0,0,0,9999,25655,2026-03-04T14:00:00Z
1772636400000,5,11,15.0,1026,131,0,70,21,21,0,0,9999,54094,2026-03-04T15:00:00Z
1772640000000,5,10,14.7,1026,125,0,72,2,2,0,0,9999,29549,2026-03-04T16:00:00Z
1772643600000,5,10,13.7,1026,112,0,77,0,0,0,0,9999,31798,2026-03-04T17:00:00Z
1772647200000,5,9,12.0,1026,103,0,83,0,0,0,0,9999,52077,2026-03-04T18:00:00Z
1772650800000,5,8,10.8,1026,110,0,85,0,0,0,0,9999,51968,2026-03-04T19:00:00Z
1772654400000,6,9,10.2,1026,112,0,85,0,0,0,0,9999,51968,2026-03-04T20:00:00Z
1772658000000,6,10,9.6,1026,108,0,87,0,0,0,0,9999,51968,2026-03-04T21:00:00Z
1772661600000,6,11,9.0,1026,115,0,87,0,0,0,0,9999,51968,2026-03-04T22:00:00Z
1772665200000,6,10,8.3,1025,118,0,89,0,0,0,0,9999,51968,2026-03-04T23:00:00Z
1772668800000,6,10,7.9,1025,118,0,90,0,0,0,0,9999,51968,2026-03-05T00:00:00Z
1772672400000,5,10,7.3,1024,117,0,90,0,0,0,0,9999,51968,2026-03-05T01:00:00Z
1772676000000,5,8,6.7,1024,123,0,91,0,0,0,0,9999,51968,2026-03-05T02:00:00Z
1772679600000,5,8,6.2,1024,132,0,92,0,0,0,0,9999,51968,2026-03-05T03:00:00Z
1772683200000,5,8,5.6,1023,142,0,92,0,0,0,0,9999,51968,2026-03-05T04:00:00Z
1772686800000,5,7,5.2,1023,143,0,92,0,0,0,0,9999,51968,2026-03-05T05:00:00Z
1772690400000,5,8,5.2,1023,131,0,89,0,0,0,0,9999,51968,2026-03-05T06:00:00Z
1772694000000,5,9,5.4,1023,131,0,89,0,0,0,0,9999,44242,2026-03-05T07:00:00Z
1772697600000,6,10,6.9,1023,134,0,85,0,0,0,0,9999,31272,2026-03-05T08:00:00Z
1772701200000,6,11,9.2,1023,137,0,81,0,0,0,0,9999,57007,2026-03-05T09:00:00Z
1772704800000,7,13,11.4,1023,139,0,75,0,0,0,0,9999,10675,2026-03-05T10:00:00Z
1772708400000,7,14,13.5,1023,141,0,66,27,0,0,27,9999,26922,2026-03-05T11:00:00Z
1772712000000,7,14,14.9,1023,143,0,61,36,0,0,36,9999,34352,2026-03-05T12:00:00Z
1772715600000,7,14,15.8,1022,138,0,58,12,0,0,12,9999,20768,2026-03-05T13:00:00Z
1772719200000,7,14,16.1,1021,137,0,55,9,0,0,9,9999,44128,2026-03-05T14:00:00Z
1772722800000,7,13,16.1,1021,134,0,55,0,0,0,0,9999,8720,2026-03-05T15:00:00Z
