log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
15028,1758024000000,20,36,16.2,64,262,2025-09-16T12:00:00Z
15029,1758027600000,19,36,16.5,65,267,2025-09-16T13:00:00Z
15030,1758031200000,18,34,16.7,66,274,2025-09-16T14:00:00Z
15031,1758034800000,16,33,16.8,67,274,2025-09-16T15:00:00Z
15032,1758038400000,16,29,16.7,68,270,2025-09-16T16:00:00Z
15033,1758042000000,14,25,16.8,69,258,2025-09-16T17:00:00Z
15034,1758045600000,13,22,16.4,70,259,2025-09-16T18:00:00Z
15035,1758049200000,11,20,17.0,71,266,2025-09-16T19:00:00Z
15036,1758052800000,11,19,16.3,72,290,2025-09-16T20:00:00Z
15037,1758056400000,11,18,16.8,1,258,2025-09-16T21:00:00Z
15038,1758060000000,7,18,15.5,2,237,2025-09-16T22:00:00Z
15039,1758063600000,11,19,16.7,3,266,2025-09-16T23:00:00Z
15040,1758067200000,9,20,16.0,4,287,2025-09-17T00:00:00Z
15041,1758070800000,10,20,16.1,5,270,2025-09-17T01:00:00Z
15042,1758074400000,9,18,16.2,6,271,2025-09-17T02:00:00Z
15043,1758078000000,8,16,16.1,7,263,2025-09-17T03:00:00Z
15044,1758081600000,7,14,16.0,8,250,2025-09-17T04:00:00Z
15045,1758085200000,7,12,15.8,9,244,2025-09-17T05:00:00Z
15046,1758088800000,8,14,16.1,10,244,2025-09-17T06:00:00Z
15047,1758092400000,9,16,16.0,11,242,2025-09-17T07:00:00Z
15048,1758096000000,8,16,15.0,12,227,2025-09-17T08:00:00Z
15049,1758099600000,8,14,14.7,13,216,2025-09-17T09:00:00Z
15050,1758103200000,10,17,14.4,14,199,2025-09-17T10:00:00Z
15051,1758106800000,9,17,14.2,15,182,2025-09-17T11:00:00Z
15052,1758110400000,12,21,14.5,16,200,2025-09-17T12:00:00Z
