timestamp,WindForecastAvr,WindForecastMax,Temperature,Pressure,WindDirection,Rain,RH,Clouds,low_cloud_cover,medium_cloud_cover,high_cloud_cover,cloud_base,global_radiation,iso_time
1770213600000,5,12,9.6,995,102,0.0,73,0,0,0,0,9999,0,2026-02-04T14:00:00Z
1770217200000,6,13,9.0,995,91,0.0,76,4,0,0,4,9999,0,2026-02-04T15:00:00Z
1770220800000,6,12,8.2,995,92,0.0,80,0,0,0,0,9999,0,2026-02-04T16:00:00Z
1770224400000,7,12,7.2,995,86,0.0,82,94,0,0,94,7393,0,2026-02-04T17:00:00Z
1770228000000,8,15,5.9,995,82,0.0,88,100,0,93,100,4454,0,2026-02-04T18:00:00Z
1770231600000,11,19,4.5,995,89,0.0,94,98,32,0,98,9999,0,2026-02-04T19:00:00Z
1770235200000,9,17,4.1,994,77,0.0,92,100,7,99,100,4995,0,2026-02-04T20:00:00Z
1770238800000,10,19,3.3,994,84,0.0,91,100,11,100,100,4110,0,2026-02-04T21:00:00Z
1770242400000,11,20,3.3,994,84,0.0,88,83,0,82,8,9999,0,2026-02-04T22:00:00Z
1770246000000,11,20,2.5,994,88,0.0,87,0,0,0,0,9999,0,2026-02-04T23:00:00Z
1770249600000,11,20,1.5,993,87,0.0,88,0,0,0,0,9999,0,2026-02-05T00:00:00Z
1770253200000,12,21,0.6,993,89,0.0,89,50,3,0,48,9999,0,2026-02-05T01:00:00Z
1770256800000,11,21,0.1,993,95,0.0,88,91,5,0,91,9999,0,2026-02-05T02:00:00Z
1770260400000,13,22,-0.3,992,94,0.0,89,100,99,0,95,255,0,2026-02-05T03:00:00Z
1770264000000,13,24,-0.4,992,94,0.0,90,100,100,0,99,217,0,2026-02-05T04:00:00Z
1770267600000,13,24,-0.2,991,91,0.0,89,100,100,0,79,217,0,2026-02-05T05:00:00Z
1770271200000,13,24,-0.2,991,95,0.0,88,100,99,4,48,255,0,2026-02-05T06:00:00Z
1770274800000,12,23,-0.3,991,96,0.0,86,98,97,0,43,296,0,2026-02-05T07:00:00Z
1770278400000,12,22,-0.6,990,91,0.0,85,63,33,0,44,9999,58531,2026-02-05T08:00:00Z
1770282000000,11,22,-0.2,991,96,0.0,82,98,95,23,50,386,15362,2026-02-05T09:00:00Z
1770285600000,11,21,0.8,990,94,0.0,79,83,15,47,63,9999,40515,2026-02-05T10:00:00Z
1770289200000,10,20,2.0,990,98,0.0,77,95,91,47,0,1859,16898,2026-02-05T11:00:00Z
1770292800000,10,19,2.6,989,97,0.0,75,100,100,0,0,605,19273,2026-02-05T12:00:00Z
1770296400000,10,18,3.1,989,99,0.0,74,100,100,0,0,606,6367,2026-02-05T13:00:00Z
1770300000000,10,19,3.6,989,100,0.0,74,100,100,0,0,607,44250,2026-02-05T14:00:00Z
1770303600000,10,18,3.5,988,94,0.0,77,100,100,0,0,608,64176,2026-02-05T15:00:00Z
1770307200000,10,19,3.6,988,95,0.0,78,32,31,1,0,9999,42483,2026-02-05T16:00:00Z
1770310800000,9,18,2.9,987,89,0.0,82,59,16,32,28,9999,13403,2026-02-05T17:00:00Z
1770314400000,9,17,2.8,987,90,0.0,84,99,38,98,24,1983,13650,2026-02-05T18:00:00Z
1770318000000,9,16,3.1,987,91,0.0,86,100,100,100,0,1370,13650,2026-02-05T19:00:00Z
1770321600000,9,15,2.9,986,86,0.0,90,97,62,88,51,2219,13650,2026-02-05T20:00:00Z
1770325200000,9,16,2.8,986,87,0.0,91,100,100,14,97,1194,13650,2026-02-05T21:00:00Z
1770328800000,9,17,2.7,986,84,0.0,92,99,40,96,78,2740,13650,2026-02-05T22:00:00Z
1770332400000,9,17,2.4,986,86,0.0,92,100,100,100,100,1029,13650,2026-02-05T23:00:00Z
1770336000000,10,18,2.4,986,87,0.0,92,100,100,99,100,1032,13650,2026-02-06T00:00:00Z
1770339600000,8,17,2.6,985,91,0.0,92,100,100,97,100,1284,13650,2026-02-06T01:00:00Z
1770343200000,8,15,2.6,985,93,0.0,92,100,0,78,100,2880,13650,2026-02-06T02:00:00Z
1770346800000,8,14,2.4,985,90,0.0,91,100,53,11,100,7730,13650,2026-02-06T03:00:00Z
1770350400000,8,15,2.3,985,85,0.0,91,100,100,100,100,1466,13650,2026-02-06T04:00:00Z
1770354000000,9,16,2.4,985,84,0.0,91,100,100,100,100,1371,13650,2026-02-06T05:00:00Z
1770357600000,9,16,2.6,985,86,0.3,92,100,52,100,100,2095,13650,2026-02-06T06:00:00Z
1770361200000,9,15,2.9,985,92,0.4,92,100,100,100,100,672,13348,2026-02-06T07:00:00Z
1770364800000,9,16,3.5,985,107,0.4,93,100,100,100,100,496,16094,2026-02-06T08:00:00Z
1770368400000,10,18,3.6,986,114,0.3,93,100,100,100,100,220,27699,2026-02-06T09:00:00Z
1770372000000,9,18,3.7,986,120,0.0,94,100,100,100,99,184,59247,2026-02-06T10:00:00Z
1770375600000,9,16,4.2,987,124,0.0,94,100,100,49,100,151,19005,2026-02-06T11:00:00Z
1770379200000,8,15,5.1,987,129,0.0,94,100,100,1,96,152,34832,2026-02-06T12:00:00Z
1770382800000,8,15,5.5,987,136,0.0,95,100,100,76,22,152,13264,2026-02-06T13:00:00Z
