log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
15796,1760788800000,5,12,13.8,40,127,2025-10-18T12:00:00Z
15797,1760792400000,5,12,13.6,41,130,2025-10-18T13:00:00Z
15798,1760796000000,6,12,13.2,42,130,2025-10-18T14:00:00Z
15799,1760799600000,6,12,12.8,43,119,2025-10-18T15:00:00Z
15800,1760803200000,7,11,12.0,44,128,2025-10-18T16:00:00Z
15801,1760806800000,6,11,10.9,45,133,2025-10-18T17:00:00Z
15802,1760810400000,7,11,10.5,46,108,2025-10-18T18:00:00Z
15803,1760814000000,7,11,10.1,47,103,2025-10-18T19:00:00Z
15804,1760817600000,5,9,9.3,48,97,2025-10-18T20:00:00Z
15805,1760821200000,6,10,9.1,49,99,2025-10-18T21:00:00Z
15806,1760824800000,6,10,8.9,50,103,2025-10-18T22:00:00Z
15807,1760828400000,7,13,8.9,51,118,2025-10-18T23:00:00Z
15808,1760832000000,7,12,8.7,52,125,2025-10-19T00:00:00Z
15809,1760835600000,7,13,8.5,53,137,2025-10-19T01:00:00Z
15810,1760839200000,6,12,8.5,54,125,2025-10-19T02:00:00Z
15811,1760842800000,7,12,8.4,55,125,2025-10-19T03:00:00Z
15812,1760846400000,7,13,8.3,56,133,2025-10-19T04:00:00Z
15813,1760850000000,7,13,8.1,57,124,2025-10-19T05:00:00Z
15814,1760853600000,7,12,7.9,58,122,2025-10-19T06:00:00Z
15815,1760857200000,8,13,8.0,59,120,2025-10-19T07:00:00Z
15816,1760860800000,7,14,8.5,60,131,2025-10-19T08:00:00Z
15817,1760864400000,8,14,9.6,61,136,2025-10-19T09:00:00Z
15818,1760868000000,8,16,11.2,62,142,2025-10-19T10:00:00Z
15819,1760871600000,9,16,12.7,63,141,2025-10-19T11:00:00Z
15820,1760875200000,9,17,14.2,64,153,2025-10-19T12:00:00Z
