timestamp,WindForecastAvr,WindForecastMax,Temperature,Pressure,WindDirection,Rain,RH,Clouds,low_cloud_cover,medium_cloud_cover,high_cloud_cover,cloud_base,global_radiation,iso_time
1771459200000,15,27,0.5,1004,82,0.0,75,100,0,99,100,4443,51793,2026-02-19T00:00:00Z
1771462800000,15,28,0.7,1003,83,0.0,71,100,0,99,100,4442,51793,2026-02-19T01:00:00Z
1771466400000,15,27,0.7,1002,81,0.0,69,100,0,100,100,3925,51793,2026-02-19T02:00:00Z
1771470000000,14,27,0.8,1002,81,0.0,69,100,0,100,100,3758,51793,2026-02-19T03:00:00Z
1771473600000,14,26,0.8,1002,79,0.0,69,100,0,100,100,3756,51793,2026-02-19T04:00:00Z
1771477200000,14,26,0.7,1002,77,0.0,70,100,0,100,100,3595,51793,2026-02-19T05:00:00Z
1771480800000,15,27,0.6,1002,77,0.0,69,100,0,100,100,3595,51889,2026-02-19T06:00:00Z
1771484400000,14,27,0.6,1003,74,0.0,68,100,0,100,100,3757,52007,2026-02-19T07:00:00Z
1771488000000,14,25,0.7,1004,75,0.0,63,100,0,100,100,3758,45869,2026-02-19T08:00:00Z
1771491600000,15,26,0.9,1005,74,0.0,59,100,0,100,100,3924,48475,2026-02-19T09:00:00Z
1771495200000,15,27,1.5,1005,73,0.0,52,100,0,99,100,4624,35109,2026-02-19T10:00:00Z
