log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
14788,1757160000000,6,12,21.5,40,123,2025-09-06T12:00:00Z
14789,1757163600000,6,13,22.2,41,115,2025-09-06T13:00:00Z
14790,1757167200000,6,13,22.7,42,112,2025-09-06T14:00:00Z
14791,1757170800000,6,13,22.3,43,110,2025-09-06T15:00:00Z
14792,1757174400000,8,14,22.2,44,104,2025-09-06T16:00:00Z
14793,1757178000000,8,15,21.6,45,95,2025-09-06T17:00:00Z
14794,1757181600000,7,12,20.6,46,100,2025-09-06T18:00:00Z
14795,1757185200000,9,16,20.0,47,97,2025-09-06T19:00:00Z
14796,1757188800000,8,13,18.8,48,88,2025-09-06T20:00:00Z
14797,1757192400000,8,14,17.9,49,98,2025-09-06T21:00:00Z
14798,1757196000000,7,15,17.1,50,101,2025-09-06T22:00:00Z
14799,1757199600000,7,13,16.6,51,107,2025-09-06T23:00:00Z
14800,1757203200000,8,14,16.1,52,111,2025-09-07T00:00:00Z
14801,1757206800000,6,14,15.6,53,115,2025-09-07T01:00:00Z
14802,1757210400000,7,11,14.9,54,109,2025-09-07T02:00:00Z
14803,1757214000000,7,13,14.6,55,122,2025-09-07T03:00:00Z
14804,1757217600000,7,13,14.3,56,116,2025-09-07T04:00:00Z
14805,1757221200000,7,13,13.8,57,116,2025-09-07T05:00:00Z
14806,1757224800000,8,15,14.3,58,116,2025-09-07T06:00:00Z
14807,1757228400000,10,18,16.0,59,118,2025-09-07T07:00:00Z
14808,1757232000000,11,20,17.7,60,119,2025-09-07T08:00:00Z
14809,1757235600000,11,21,19.6,61,123,2025-09-07T09:00:00Z
14810,1757239200000,12,23,21.5,62,119,2025-09-07T10:00:00Z
14811,1757242800000,12,23,23.4,63,127,2025-09-07T11:00:00Z
14812,1757246400000,12,23,24.8,64,126,2025-09-07T12:00:00Z
