timestamp,WindForecastAvr,WindForecastMax,Temperature,Pressure,WindDirection,Rain,RH,Clouds,low_cloud_cover,medium_cloud_cover,high_cloud_cover,cloud_base,global_radiation,iso_time
1764424800000,11,20,10.2,1003,175,0.0,85,100,100,0,100,452,0,2025-11-29T14:00:00Z
1764428400000,11,20,10.1,1003,177,0.0,86,100,100,1,100,506,0,2025-11-29T15:00:00Z
1764432000000,11,20,10.3,1002,170,0.0,86,100,100,0,94,402,0,2025-11-29T16:00:00Z
1764435600000,12,23,10.5,1002,180,0.0,88,100,100,100,100,403,0,2025-11-29T17:00:00Z
1764439200000,12,21,10.5,1001,174,0.0,92,100,100,100,100,403,0,2025-11-29T18:00:00Z
1764442800000,12,23,10.6,1001,197,0.0,91,100,100,100,100,403,0,2025-11-29T19:00:00Z
1764446400000,11,20,10.6,1001,214,0.0,92,100,100,98,94,507,0,2025-11-29T20:00:00Z
1764450000000,12,21,10.2,1002,226,0.0,89,100,100,100,99,682,0,2025-11-29T21:00:00Z
1764453600000,10,18,9.7,1002,243,0.0,83,100,16,100,24,2482,0,2025-11-29T22:00:00Z
1764457200000,11,19,9.3,1003,244,0.0,79,79,8,11,74,9999,0,2025-11-29T23:00:00Z
1764460800000,9,18,8.5,1003,232,0.0,76,98,0,2,98,9999,0,2025-11-30T00:00:00Z
1764464400000,11,19,8.8,1004,231,0.0,77,100,99,23,100,1033,0,2025-11-30T01:00:00Z
1764468000000,11,23,8.4,1004,234,0.0,73,85,0,2,85,9999,0,2025-11-30T02:00:00Z
1764471600000,12,21,8.5,1004,236,0.0,73,100,100,0,2,881,0,2025-11-30T03:00:00Z
1764475200000,12,21,8.4,1005,243,0.0,72,100,100,0,88,954,0,2025-11-30T04:00:00Z
1764478800000,12,22,8.2,1005,248,0.0,74,100,100,0,8,879,0,2025-11-30T05:00:00Z
1764482400000,10,22,8.0,1006,241,0.0,76,100,100,0,0,741,0,2025-11-30T06:00:00Z
1764486000000,9,17,7.8,1007,257,0.4,83,100,100,0,0,1110,0,2025-11-30T07:00:00Z
1764489600000,12,21,7.9,1008,268,0.0,79,30,30,0,0,9999,7472,2025-11-30T08:00:00Z
1764493200000,14,24,7.6,1008,271,0.0,66,100,100,0,0,1190,45580,2025-11-30T09:00:00Z
1764496800000,12,24,7.9,1009,257,0.0,59,0,0,0,0,9999,37648,2025-11-30T10:00:00Z
1764500400000,13,24,7.9,1010,263,0.0,56,0,0,0,0,9999,50198,2025-11-30T11:00:00Z
1764504000000,13,24,7.9,1010,263,0.0,69,98,98,0,0,806,21706,2025-11-30T12:00:00Z
1764507600000,13,23,7.6,1011,274,0.0,73,100,100,0,0,739,12069,2025-11-30T13:00:00Z
1764511200000,10,22,7.7,1011,273,0.0,74,100,100,0,0,807,18114,2025-11-30T14:00:00Z
1764514800000,9,18,7.8,1012,270,0.0,74,100,100,90,0,1028,225,2025-11-30T15:00:00Z
1764518400000,8,15,7.7,1012,257,0.0,75,100,100,33,0,1028,4803,2025-11-30T16:00:00Z
1764522000000,11,19,7.7,1013,266,0.0,76,100,100,2,0,952,4803,2025-11-30T17:00:00Z
1764525600000,10,18,7.7,1014,264,0.0,75,100,100,0,0,808,4803,2025-11-30T18:00:00Z
1764529200000,9,18,7.6,1014,255,0.0,72,100,100,0,0,1109,4803,2025-11-30T19:00:00Z
1764532800000,11,18,7.9,1015,262,0.0,73,100,100,0,0,1278,4803,2025-11-30T20:00:00Z
1764536400000,11,20,7.5,1015,266,0.0,69,0,0,0,0,9999,4803,2025-11-30T21:00:00Z
1764540000000,9,18,7.2,1015,265,0.0,64,0,0,0,0,9999,4803,2025-11-30T22:00:00Z
1764543600000,7,15,6.6,1015,247,0.0,70,48,48,0,0,9999,4803,2025-11-30T23:00:00Z
1764547200000,7,13,6.7,1015,231,0.0,73,99,99,1,12,1030,4803,2025-12-01T00:00:00Z
1764550800000,7,13,5.6,1015,192,0.0,85,100,100,0,40,1029,4803,2025-12-01T01:00:00Z
1764554400000,9,15,5.3,1015,191,0.0,85,31,0,0,31,9999,4803,2025-12-01T02:00:00Z
1764558000000,9,16,5.0,1015,186,0.0,85,59,17,9,45,9999,4803,2025-12-01T03:00:00Z
1764561600000,11,20,5.6,1014,192,0.0,82,98,21,94,64,2218,4803,2025-12-01T04:00:00Z
1764565200000,12,20,5.8,1014,191,0.0,80,100,100,100,85,1765,4803,2025-12-01T05:00:00Z
1764568800000,12,21,5.9,1014,193,0.0,79,99,48,99,67,1985,4933,2025-12-01T06:00:00Z
1764572400000,11,21,5.4,1013,187,0.0,80,53,0,25,37,9999,4829,2025-12-01T07:00:00Z
1764576000000,12,21,4.9,1013,183,0.0,82,53,0,22,39,9999,22692,2025-12-01T08:00:00Z
1764579600000,14,24,5.5,1012,184,0.0,79,100,3,61,100,7379,47152,2025-12-01T09:00:00Z
1764583200000,16,28,6.2,1012,189,0.0,76,100,39,100,100,2109,64052,2025-12-01T10:00:00Z
1764586800000,17,29,6.4,1011,188,0.0,77,100,100,100,100,1468,10430,2025-12-01T11:00:00Z
1764590400000,17,30,6.4,1010,185,0.0,78,100,100,100,100,1284,11288,2025-12-01T12:00:00Z
1764594000000,17,30,6.0,1010,185,0.3,86,100,100,100,100,1197,8391,2025-12-01T13:00:00Z
1764597600000,17,30,5.9,1009,183,0.7,88,100,100,100,100,1032,37801,2025-12-01T14:00:00Z
1764601200000,17,30,6.2,1008,183,0.4,88,100,100,100,100,881,49650,2025-12-01T15:00:00Z
1764604800000,16,30,6.5,1008,185,0.2,88,100,100,100,100,809,51102,2025-12-01T16:00:00Z
1764608400000,17,30,6.8,1008,187,0.0,85,100,100,99,100,809,51102,2025-12-01T17:00:00Z
1764612000000,17,30,7.0,1008,186,0.0,83,100,100,100,100,1202,51102,2025-12-01T18:00:00Z
