timestamp,WindForecastAvr,WindForecastMax,Temperature,Pressure,WindDirection,Rain,RH,Clouds,low_cloud_cover,medium_cloud_cover,high_cloud_cover,cloud_base,global_radiation,iso_time
1768226400000,9,17,6.3,1004,181,0.0,96,100,11,98,100,122,0,2026-01-12T14:00:00Z
1768230000000,9,16,6.2,1004,183,0.0,95,100,15,100,100,122,0,2026-01-12T15:00:00Z
1768233600000,10,17,6.9,1004,180,0.0,96,100,100,100,100,153,0,2026-01-12T16:00:00Z
1768237200000,8,13,6.4,1004,196,0.0,95,99,34,1,98,187,0,2026-01-12T17:00:00Z
1768240800000,7,12,6.3,1004,185,0.0,95,100,79,0,100,122,0,2026-01-12T18:00:00Z
1768244400000,7,12,6.8,1005,186,0.0,96,100,94,6,100,122,0,2026-01-12T19:00:00Z
1768248000000,7,12,5.9,1005,187,0.0,96,100,100,0,0,264,0,2026-01-12T20:00:00Z
1768251600000,8,14,6.6,1006,207,0.0,97,100,100,0,65,123,0,2026-01-12T21:00:00Z
1768255200000,8,15,7.5,1006,205,0.0,98,36,25,0,14,9999,0,2026-01-12T22:00:00Z
1768258800000,8,15,7.5,1006,212,0.0,96,95,95,0,0,307,0,2026-01-12T23:00:00Z
1768262400000,9,15,7.4,1006,206,0.0,97,99,99,0,0,506,0,2026-01-13T00:00:00Z
1768266000000,8,14,7.0,1006,198,0.0,99,84,84,0,0,9999,0,2026-01-13T01:00:00Z
1768269600000,8,14,7.2,1007,205,0.0,98,100,100,0,0,401,0,2026-01-13T02:00:00Z
1768273200000,7,14,7.5,1007,203,0.0,98,100,100,0,92,225,0,2026-01-13T03:00:00Z
1768276800000,7,11,7.4,1007,198,0.0,98,100,100,0,100,188,0,2026-01-13T04:00:00Z
1768280400000,6,11,7.2,1007,196,0.0,98,100,100,0,100,154,0,2026-01-13T05:00:00Z
1768284000000,5,10,6.9,1007,186,0.0,98,100,100,0,100,123,0,2026-01-13T06:00:00Z
1768287600000,6,9,6.7,1007,184,0.0,98,100,100,0,100,95,0,2026-01-13T07:00:00Z
1768291200000,7,12,6.6,1008,175,0.0,99,100,100,26,100,16,302,2026-01-13T08:00:00Z
1768294800000,7,12,6.8,1008,177,0.0,99,100,100,54,100,16,17497,2026-01-13T09:00:00Z
1768298400000,8,13,7.0,1008,166,0.0,99,100,100,74,100,4,42943,2026-01-13T10:00:00Z
1768302000000,7,13,7.0,1008,171,0.0,99,100,100,100,100,4,31754,2026-01-13T11:00:00Z
1768305600000,7,13,6.9,1007,169,0.0,99,100,100,99,99,31,47153,2026-01-13T12:00:00Z
1768309200000,7,12,6.9,1006,172,0.0,99,100,100,100,100,49,19270,2026-01-13T13:00:00Z
1768312800000,7,13,7.0,1006,173,0.0,97,100,100,100,99,95,40708,2026-01-13T14:00:00Z
1768316400000,8,13,7.1,1005,175,0.0,95,100,100,24,73,187,18830,2026-01-13T15:00:00Z
1768320000000,8,14,7.1,1005,184,0.0,95,100,100,99,99,187,36341,2026-01-13T16:00:00Z
1768323600000,8,14,7.0,1005,180,0.0,96,100,100,70,99,153,36341,2026-01-13T17:00:00Z
1768327200000,9,15,7.2,1005,183,0.3,96,100,100,100,85,683,36341,2026-01-13T18:00:00Z
1768330800000,10,18,7.4,1005,196,0.5,92,100,99,100,100,1787,36341,2026-01-13T19:00:00Z
1768334400000,10,17,7.3,1004,198,0.0,92,100,100,98,100,559,36341,2026-01-13T20:00:00Z
1768338000000,10,18,7.6,1005,206,0.3,93,100,100,100,100,400,36341,2026-01-13T21:00:00Z
1768341600000,12,20,8.0,1005,214,0.6,94,100,100,100,100,264,36341,2026-01-13T22:00:00Z
1768345200000,12,20,8.3,1005,222,0.6,94,100,100,100,100,264,36341,2026-01-13T23:00:00Z
1768348800000,14,24,8.2,1005,233,0.4,95,100,100,100,100,188,36341,2026-01-14T00:00:00Z
1768352400000,12,24,7.6,1005,245,0.9,96,100,100,100,100,153,36341,2026-01-14T01:00:00Z
1768356000000,9,21,6.9,1006,310,1.4,95,100,100,100,100,397,36341,2026-01-14T02:00:00Z
1768359600000,7,15,6.5,1007,307,1.7,96,100,100,100,100,555,36341,2026-01-14T03:00:00Z
1768363200000,10,17,6.0,1008,327,1.1,94,100,100,100,100,806,36341,2026-01-14T04:00:00Z
1768366800000,5,16,5.8,1008,314,0.5,93,100,53,100,90,2605,36341,2026-01-14T05:00:00Z
1768370400000,4,9,5.6,1009,281,0.0,91,99,6,98,18,2219,36341,2026-01-14T06:00:00Z
1768374000000,6,9,5.2,1010,264,0.0,91,99,99,0,0,612,36225,2026-01-14T07:00:00Z
1768377600000,5,10,5.1,1012,287,0.0,86,16,16,0,0,9999,38618,2026-01-14T08:00:00Z
1768381200000,4,8,5.2,1012,274,0.0,85,45,45,0,0,9999,20460,2026-01-14T09:00:00Z
1768384800000,5,8,6.3,1013,262,0.0,81,27,27,0,0,9999,60768,2026-01-14T10:00:00Z
1768388400000,6,11,6.9,1014,272,0.0,75,0,0,0,0,9999,48933,2026-01-14T11:00:00Z
1768392000000,6,11,7.2,1014,260,0.0,72,0,0,0,0,9999,13411,2026-01-14T12:00:00Z
1768395600000,5,11,7.3,1014,245,0.0,70,0,0,0,0,9999,23070,2026-01-14T13:00:00Z
1768399200000,5,10,7.3,1014,245,0.0,68,0,0,0,0,9999,51386,2026-01-14T14:00:00Z
1768402800000,5,9,6.8,1014,234,0.0,70,0,0,0,0,9999,45016,2026-01-14T15:00:00Z
1768406400000,3,8,5.3,1014,223,0.0,76,0,0,0,0,9999,26642,2026-01-14T16:00:00Z
1768410000000,2,4,3.8,1014,193,0.0,79,0,0,0,0,9999,26642,2026-01-14T17:00:00Z
1768413600000,3,3,2.5,1014,160,0.0,79,58,0,0,58,9999,26642,2026-01-14T18:00:00Z
1768417200000,3,4,2.0,1014,140,0.0,81,87,0,55,72,9999,26642,2026-01-14T19:00:00Z
1768420800000,4,6,2.8,1013,129,0.0,81,100,0,98,97,2222,26642,2026-01-14T20:00:00Z
1768424400000,4,8,3.3,1012,132,0.0,84,99,81,97,0,950,26642,2026-01-14T21:00:00Z
1768428000000,4,7,3.7,1012,132,0.0,88,100,100,100,0,553,26642,2026-01-14T22:00:00Z
1768431600000,4,8,3.8,1011,124,0.0,93,100,100,95,0,121,26642,2026-01-14T23:00:00Z
1768435200000,6,11,3.8,1011,137,0.0,99,100,100,0,0,4,26642,2026-01-15T00:00:00Z
1768438800000,5,10,4.0,1010,144,0.0,99,100,100,11,38,16,26642,2026-01-15T01:00:00Z
1768442400000,5,8,4.4,1009,152,0.0,99,100,100,100,99,30,26642,2026-01-15T02:00:00Z
1768446000000,5,8,5.4,1009,173,0.0,98,100,100,100,100,70,26642,2026-01-15T03:00:00Z
1768449600000,7,11,6.8,1008,204,0.2,99,100,100,100,48,49,26642,2026-01-15T04:00:00Z
1768453200000,10,17,7.3,1008,231,0.2,100,100,100,0,0,31,26642,2026-01-15T05:00:00Z
1768456800000,10,21,6.6,1009,240,0.0,99,100,100,0,0,4,26642,2026-01-15T06:00:00Z
1768460400000,9,18,6.1,1010,237,0.0,93,87,87,0,0,262,26883,2026-01-15T07:00:00Z
1768464000000,6,16,5.1,1010,196,0.0,93,79,1,0,79,9028,29734,2026-01-15T08:00:00Z
