log_id,timestamp,AverageWind,MaxWind,MinWind,WaterTemperatuur,AccuTemperatuur,row_id,longitude,latitude,WindDirection,iso_time
341749,1770771795000,2,3,1,0,7.5,250,0,0,107,2026-02-11T01:03:15Z
341750,1770771974000,2,5,1,0,7.5,251,0,0,107,2026-02-11T01:06:14Z
341751,1770772515000,3,4,1,0,7.5,252,0,0,107,2026-02-11T01:15:15Z
341752,1770772875000,2,3,1,0,7.5,253,0,0,107,2026-02-11T01:21:15Z
341753,1770773235000,2,3,1,0,8.0,254,0,0,107,2026-02-11T01:27:15Z
341754,1770773775000,2,4,1,0,8.0,255,0,0,107,2026-02-11T01:36:15Z
341755,1770773955000,2,3,1,0,8.0,256,0,0,107,2026-02-11T01:39:15Z
341757,1770774675000,2,4,1,0,8.0,257,0,0,107,2026-02-11T01:51:15Z
341758,1770774855000,2,3,1,0,8.0,258,0,0,107,2026-02-11T01:54:15Z
341759,1770775216000,2,3,2,0,8.0,259,0,0,107,2026-02-11T02:00:16Z
341760,1770775396000,2,3,1,0,8.0,260,0,0,107,2026-02-11T02:03:16Z
341761,1770776656000,1,3,0,0,8.0,261,0,0,107,2026-02-11T02:24:16Z
341762,1770776835000,2,3,1,0,8.0,262,0,0,107,2026-02-11T02:27:15Z
341763,1770777196000,2,3,1,0,7.5,263,0,0,107,2026-02-11T02:33:16Z
341764,1770777375000,1,3,0,0,7.5,264,0,0,107,2026-02-11T02:36:15Z
341765,1770777555000,2,4,1,0,7.5,265,0,0,107,2026-02-11T02:39:15Z
341766,1770778276000,2,3,0,0,7.5,266,0,0,107,2026-02-11T02:51:16Z
341767,1770778816000,1,2,0,0,7.5,267,0,0,107,2026-02-11T03:00:16Z
341768,1770778996000,1,4,0,0,7.5,268,0,0,107,2026-02-11T03:03:16Z
341769,1770779176000,2,3,1,0,7.5,269,0,0,107,2026-02-11T03:06:16Z
341770,1770779538000,2,4,1,0,7.5,270,0,0,107,2026-02-11T03:12:18Z
341771,1770779715000,2,3,1,0,7.5,271,0,0,107,2026-02-11T03:15:15Z
341772,1770780256000,3,3,2,0,7.5,272,0,0,107,2026-02-11T03:24:16Z
341773,1770781155000,2,3,1,0,7.5,273,0,0,107,2026-02-11T03:39:15Z
341774,1770782417000,2,4,1,0,7.5,274,0,0,107,2026-02-11T04:00:17Z
341775,1770782596000,2,3,1,0,7.5,275,0,0,107,2026-02-11T04:03:16Z
341776,1770782777000,2,4,1,0,7.5,276,0,0,107,2026-02-11T04:06:17Z
341777,1770783136000,2,3,1,0,7.5,277,0,0,107,2026-02-11T04:12:16Z
341778,1770783316000,2,4,1,0,7.5,278,0,0,107,2026-02-11T04:15:16Z
341779,1770783496000,2,3,0,0,7.5,279,0,0,107,2026-02-11T04:18:16Z
341780,1770784036000,2,3,1,0,7.5,280,0,0,107,2026-02-11T04:27:16Z
