log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
14596,1756468800000,8,17,20.2,64,181,2025-08-29T12:00:00Z
14597,1756472400000,9,18,20.1,65,159,2025-08-29T13:00:00Z
14598,1756476000000,7,14,18.7,66,186,2025-08-29T14:00:00Z
14599,1756479600000,9,17,18.1,67,179,2025-08-29T15:00:00Z
14600,1756483200000,10,19,18.1,68,167,2025-08-29T16:00:00Z
14601,1756486800000,10,18,18.8,69,174,2025-08-29T17:00:00Z
14602,1756490400000,7,12,17.0,70,163,2025-08-29T18:00:00Z
14603,1756494000000,10,19,17.1,71,168,2025-08-29T19:00:00Z
14604,1756497600000,6,10,17.0,72,172,2025-08-29T20:00:00Z
14605,1756501200000,6,10,16.4,1,187,2025-08-29T21:00:00Z
14606,1756504800000,8,15,16.2,2,191,2025-08-29T22:00:00Z
14607,1756508400000,9,15,15.5,3,216,2025-08-29T23:00:00Z
14608,1756512000000,5,18,15.1,4,198,2025-08-30T00:00:00Z
14609,1756515600000,6,10,15.2,5,200,2025-08-30T01:00:00Z
14610,1756519200000,6,14,15.5,6,217,2025-08-30T02:00:00Z
14611,1756522800000,6,10,14.8,7,191,2025-08-30T03:00:00Z
14612,1756526400000,7,12,14.3,8,203,2025-08-30T04:00:00Z
14613,1756530000000,7,12,15.0,9,177,2025-08-30T05:00:00Z
14614,1756533600000,8,14,15.8,10,187,2025-08-30T06:00:00Z
14615,1756537200000,8,14,16.4,11,197,2025-08-30T07:00:00Z
14616,1756540800000,8,14,18.0,12,214,2025-08-30T08:00:00Z
14617,1756544400000,10,18,19.4,13,237,2025-08-30T09:00:00Z
14618,1756548000000,9,18,20.0,14,236,2025-08-30T10:00:00Z
14619,1756551600000,10,19,20.3,15,234,2025-08-30T11:00:00Z
14620,1756555200000,10,20,20.8,16,236,2025-08-30T12:00:00Z
