timestamp,WindForecastAvr,WindForecastMax,Temperature,Pressure,WindDirection,Rain,RH,Clouds,low_cloud_cover,medium_cloud_cover,high_cloud_cover,cloud_base,global_radiation,iso_time
1771423200000,10,21,3.8,1009,113,0.0,66,84,0,0,84,8937,0,2026-02-18T14:00:00Z
1771426800000,12,23,3.4,1007,114,0.0,65,99,0,0,99,8629,0,2026-02-18T15:00:00Z
1771430400000,13,23,2.7,1007,111,0.0,70,100,4,0,100,7204,0,2026-02-18T16:00:00Z
1771434000000,13,24,2.5,1006,103,0.0,68,100,0,0,100,6711,0,2026-02-18T17:00:00Z
1771437600000,13,23,1.9,1005,102,0.0,73,100,0,37,100,5810,0,2026-02-18T18:00:00Z
1771441200000,13,24,1.1,1004,98,0.0,79,100,0,100,100,4823,0,2026-02-18T19:00:00Z
1771444800000,13,25,1.2,1003,102,0.0,74,100,0,100,100,4461,0,2026-02-18T20:00:00Z
1771448400000,12,24,1.2,1003,101,0.0,73,100,0,99,100,5014,0,2026-02-18T21:00:00Z
1771452000000,12,23,1.4,1002,97,0.0,74,100,2,100,100,3151,0,2026-02-18T22:00:00Z
1771455600000,15,27,1.9,1000,97,0.0,74,100,3,99,100,4462,0,2026-02-18T23:00:00Z
1771459200000,17,30,2.0,1000,95,0.0,75,100,69,100,100,938,0,2026-02-19T00:00:00Z
1771462800000,16,30,1.9,999,95,0.0,75,100,84,100,100,4456,0,2026-02-19T01:00:00Z
1771466400000,15,29,1.2,998,95,0.3,82,100,94,100,100,4279,0,2026-02-19T02:00:00Z
1771470000000,17,30,1.1,997,95,0.1,82,100,94,100,100,2321,0,2026-02-19T03:00:00Z
1771473600000,16,30,1.0,997,97,0.4,83,100,98,100,100,934,0,2026-02-19T04:00:00Z
1771477200000,16,29,0.9,997,98,0.6,86,100,100,100,100,861,0,2026-02-19T05:00:00Z
1771480800000,16,29,0.8,997,95,0.8,87,100,100,100,100,660,0,2026-02-19T06:00:00Z
1771484400000,15,28,1.0,998,95,0.6,88,100,100,100,100,438,74,2026-02-19T07:00:00Z
1771488000000,15,27,1.2,998,96,0.7,91,100,100,100,100,342,14181,2026-02-19T08:00:00Z
1771491600000,15,27,1.2,999,96,0.7,92,100,100,100,100,298,53790,2026-02-19T09:00:00Z
1771495200000,14,26,1.5,999,95,0.4,91,100,100,98,100,343,7773,2026-02-19T10:00:00Z
1771498800000,15,26,2.0,1000,97,0.2,90,100,100,81,100,390,5990,2026-02-19T11:00:00Z
1771502400000,14,26,2.6,1001,97,0.1,89,100,100,92,99,391,30011,2026-02-19T12:00:00Z
1771506000000,15,27,3.0,1002,98,0.0,87,100,100,78,99,441,24671,2026-02-19T13:00:00Z
1771509600000,14,27,3.4,1003,98,0.0,85,96,89,53,19,866,16064,2026-02-19T14:00:00Z
1771513200000,13,26,3.7,1004,99,0.0,80,99,97,31,93,867,29923,2026-02-19T15:00:00Z
1771516800000,12,22,3.6,1004,100,0.0,77,61,23,0,48,9999,57241,2026-02-19T16:00:00Z
1771520400000,10,21,2.9,1005,101,0.0,75,99,2,0,99,8959,21198,2026-02-19T17:00:00Z
1771524000000,8,17,2.1,1007,98,0.0,76,98,7,98,0,2732,21177,2026-02-19T18:00:00Z
1771527600000,9,16,1.9,1009,109,0.0,76,100,11,100,0,2336,21177,2026-02-19T19:00:00Z
