log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
14572,1756382400000,8,16,18.6,40,244,2025-08-28T12:00:00Z
14573,1756386000000,9,18,20.1,41,264,2025-08-28T13:00:00Z
14574,1756389600000,7,15,19.2,42,254,2025-08-28T14:00:00Z
14575,1756393200000,9,17,19.7,43,248,2025-08-28T15:00:00Z
14576,1756396800000,9,18,20.0,44,248,2025-08-28T16:00:00Z
14577,1756400400000,9,17,19.0,45,244,2025-08-28T17:00:00Z
14578,1756404000000,8,15,19.1,46,236,2025-08-28T18:00:00Z
14579,1756407600000,6,11,17.7,47,224,2025-08-28T19:00:00Z
14580,1756411200000,4,6,15.9,48,202,2025-08-28T20:00:00Z
14581,1756414800000,4,7,16.3,49,186,2025-08-28T21:00:00Z
14582,1756418400000,6,9,16.0,50,195,2025-08-28T22:00:00Z
14583,1756422000000,6,10,16.1,51,192,2025-08-28T23:00:00Z
14584,1756425600000,6,11,15.8,52,177,2025-08-29T00:00:00Z
14585,1756429200000,6,10,15.3,53,171,2025-08-29T01:00:00Z
14586,1756432800000,6,11,15.1,54,185,2025-08-29T02:00:00Z
14587,1756436400000,6,10,14.8,55,186,2025-08-29T03:00:00Z
14588,1756440000000,5,10,14.3,56,163,2025-08-29T04:00:00Z
14589,1756443600000,6,10,13.9,57,161,2025-08-29T05:00:00Z
14590,1756447200000,6,10,14.6,58,170,2025-08-29T06:00:00Z
14591,1756450800000,7,14,16.1,59,164,2025-08-29T07:00:00Z
14592,1756454400000,8,16,17.8,60,172,2025-08-29T08:00:00Z
14593,1756458000000,10,19,19.5,61,176,2025-08-29T09:00:00Z
14594,1756461600000,10,20,20.5,62,171,2025-08-29T10:00:00Z
14595,1756465200000,11,20,21.0,63,166,2025-08-29T11:00:00Z
14596,1756468800000,11,22,21.0,64,159,2025-08-29T12:00:00Z
