log_id,timestamp,AverageWind,MaxWind,MinWind,WaterTemperatuur,AccuTemperatuur,row_id,longitude,latitude,WindDirection,iso_time
327885,1765846904000,4,5,3,0,8.0,421,0,0,156,2025-12-16T01:01:44Z
327886,1765847084000,5,7,3,0,8.0,422,0,0,158,2025-12-16T01:04:44Z
327887,1765847265000,4,7,3,0,8.0,423,0,0,148,2025-12-16T01:07:45Z
327888,1765847624000,4,6,3,0,8.0,424,0,0,145,2025-12-16T01:13:44Z
327889,1765847805000,4,6,3,0,8.0,425,0,0,140,2025-12-16T01:16:45Z
327890,1765847984000,5,7,3,0,8.0,426,0,0,133,2025-12-16T01:19:44Z
327892,1765848525000,3,4,2,0,8.0,427,0,0,129,2025-12-16T01:28:45Z
327893,1765848705000,4,5,3,0,8.0,428,0,0,129,2025-12-16T01:31:45Z
327894,1765849065000,4,6,3,0,8.0,429,0,0,129,2025-12-16T01:37:45Z
327895,1765849245000,4,6,3,0,8.0,430,0,0,129,2025-12-16T01:40:45Z
327896,1765849425000,4,6,3,0,8.0,431,0,0,130,2025-12-16T01:43:45Z
327897,1765849785000,4,8,3,0,8.0,432,0,0,129,2025-12-16T01:49:45Z
327898,1765849965000,4,5,3,0,8.0,433,0,0,130,2025-12-16T01:52:45Z
327899,1765850505000,3,5,2,0,8.0,434,0,0,129,2025-12-16T02:01:45Z
327900,1765850685000,3,6,2,0,8.0,435,0,0,129,2025-12-16T02:04:45Z
327901,1765851225000,2,5,1,0,8.0,436,0,0,129,2025-12-16T02:13:45Z
327902,1765851405000,3,5,1,0,8.0,437,0,0,129,2025-12-16T02:16:45Z
327903,1765851765000,3,5,3,0,8.0,438,0,0,129,2025-12-16T02:22:45Z
327904,1765852125000,4,6,3,0,8.0,439,0,0,129,2025-12-16T02:28:45Z
327905,1765852305000,4,6,3,0,8.0,440,0,0,129,2025-12-16T02:31:45Z
327906,1765852665000,5,6,3,0,8.0,441,0,0,130,2025-12-16T02:37:45Z
327907,1765852845000,4,6,3,0,8.0,442,0,0,132,2025-12-16T02:40:45Z
327908,1765853205000,4,6,3,0,8.0,443,0,0,132,2025-12-16T02:46:45Z
327909,1765853385000,3,5,3,0,8.0,444,0,0,132,2025-12-16T02:49:45Z
327910,1765853745000,6,8,3,0,8.5,445,0,0,134,2025-12-16T02:55:45Z
327911,1765854105000,4,7,3,0,8.5,446,0,0,134,2025-12-16T03:01:45Z
327912,1765854286000,5,7,3,0,8.5,447,0,0,150,2025-12-16T03:04:46Z
327914,1765855545000,4,6,2,0,8.5,448,0,0,142,2025-12-16T03:25:45Z
327915,1765855725000,3,6,2,0,8.5,449,0,0,142,2025-12-16T03:28:45Z
327916,1765856446000,6,8,4,0,8.5,450,0,0,138,2025-12-16T03:40:46Z
327917,1765856625000,5,7,3,0,8.5,451,0,0,136,2025-12-16T03:43:45Z
327918,1765856986000,6,8,4,0,8.5,452,0,0,137,2025-12-16T03:49:46Z
327919,1765857166000,4,6,3,0,8.5,453,0,0,130,2025-12-16T03:52:46Z
327920,1765857886000,4,7,3,0,8.5,454,0,0,161,2025-12-16T04:04:46Z
327921,1765858426000,3,7,2,0,8.5,455,0,0,142,2025-12-16T04:13:46Z
327922,1765859146000,4,6,3,0,8.5,456,0,0,137,2025-12-16T04:25:46Z
327923,1765859326000,5,7,4,0,8.5,457,0,0,128,2025-12-16T04:28:46Z
327924,1765859506000,6,7,4,0,8.0,458,0,0,131,2025-12-16T04:31:46Z
327925,1765859866000,5,8,3,0,8.0,459,0,0,131,2025-12-16T04:37:46Z
327926,1765860046000,4,7,3,0,8.0,460,0,0,130,2025-12-16T04:40:46Z
327927,1765860226000,5,7,3,0,8.0,461,0,0,130,2025-12-16T04:43:46Z
327928,1765861306000,4,7,3,0,8.0,462,0,0,133,2025-12-16T05:01:46Z
327929,1765861486000,5,8,3,0,8.0,463,0,0,130,2025-12-16T05:04:46Z
327930,1765861846000,3,5,2,0,8.0,464,0,0,128,2025-12-16T05:10:46Z
327931,1765862206000,4,6,2,0,8.0,465,0,0,128,2025-12-16T05:16:46Z
327932,1765862386000,3,5,2,0,8.0,466,0,0,127,2025-12-16T05:19:46Z
327933,1765862746000,3,5,1,0,8.0,467,0,0,128,2025-12-16T05:25:46Z
327934,1765862926000,3,5,1,0,8.0,468,0,0,128,2025-12-16T05:28:46Z
