log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
15292,1758974400000,5,11,15.6,40,133,2025-09-27T12:00:00Z
15293,1758978000000,4,9,16.4,41,129,2025-09-27T13:00:00Z
15294,1758981600000,3,8,16.7,42,136,2025-09-27T14:00:00Z
15295,1758985200000,4,9,17.1,43,107,2025-09-27T15:00:00Z
15296,1758988800000,3,8,16.6,44,114,2025-09-27T16:00:00Z
15297,1758992400000,4,7,15.7,45,88,2025-09-27T17:00:00Z
15298,1758996000000,4,8,14.7,46,101,2025-09-27T18:00:00Z
15299,1758999600000,2,3,13.2,47,14,2025-09-27T19:00:00Z
15300,1759003200000,2,3,11.8,48,93,2025-09-27T20:00:00Z
15301,1759006800000,5,6,11.4,49,97,2025-09-27T21:00:00Z
15302,1759010400000,4,6,10.6,50,122,2025-09-27T22:00:00Z
15303,1759014000000,4,5,10.0,51,122,2025-09-27T23:00:00Z
15304,1759017600000,5,7,9.5,52,130,2025-09-28T00:00:00Z
15305,1759021200000,4,7,8.9,53,163,2025-09-28T01:00:00Z
15306,1759024800000,4,6,8.5,54,146,2025-09-28T02:00:00Z
15307,1759028400000,4,6,8.0,55,155,2025-09-28T03:00:00Z
15308,1759032000000,4,6,7.9,56,147,2025-09-28T04:00:00Z
15309,1759035600000,3,5,7.7,57,170,2025-09-28T05:00:00Z
15310,1759039200000,4,5,7.8,58,176,2025-09-28T06:00:00Z
15311,1759042800000,3,5,9.5,59,160,2025-09-28T07:00:00Z
15312,1759046400000,4,7,12.3,60,167,2025-09-28T08:00:00Z
15313,1759050000000,4,9,14.3,61,179,2025-09-28T09:00:00Z
15314,1759053600000,5,10,15.9,62,180,2025-09-28T10:00:00Z
15315,1759057200000,4,10,16.9,63,194,2025-09-28T11:00:00Z
15316,1759060800000,3,10,17.8,64,204,2025-09-28T12:00:00Z
