log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
15436,1759492800000,8,15,12.7,40,158,2025-10-03T12:00:00Z
15437,1759496400000,7,16,12.5,41,148,2025-10-03T13:00:00Z
15438,1759500000000,8,16,12.8,42,165,2025-10-03T14:00:00Z
15439,1759503600000,10,21,13.0,43,163,2025-10-03T15:00:00Z
15440,1759507200000,8,19,12.5,44,179,2025-10-03T16:00:00Z
15441,1759510800000,9,20,11.3,45,176,2025-10-03T17:00:00Z
15442,1759514400000,14,25,10.4,46,172,2025-10-03T18:00:00Z
15443,1759518000000,14,27,10.3,47,171,2025-10-03T19:00:00Z
15444,1759521600000,16,29,10.6,48,173,2025-10-03T20:00:00Z
15445,1759525200000,17,30,10.6,49,171,2025-10-03T21:00:00Z
15446,1759528800000,16,30,11.1,50,174,2025-10-03T22:00:00Z
15447,1759532400000,16,29,12.0,51,178,2025-10-03T23:00:00Z
15448,1759536000000,17,31,13.2,52,187,2025-10-04T00:00:00Z
15449,1759539600000,17,31,14.1,53,194,2025-10-04T01:00:00Z
15450,1759543200000,18,33,15.2,54,199,2025-10-04T02:00:00Z
15451,1759546800000,18,34,16.0,55,203,2025-10-04T03:00:00Z
15452,1759550400000,17,33,16.8,56,216,2025-10-04T04:00:00Z
15453,1759554000000,17,46,14.8,57,251,2025-10-04T05:00:00Z
15454,1759557600000,19,38,12.8,58,253,2025-10-04T06:00:00Z
15455,1759561200000,17,34,14.1,59,248,2025-10-04T07:00:00Z
15456,1759564800000,17,36,13.6,60,266,2025-10-04T08:00:00Z
15457,1759568400000,22,41,14.0,61,259,2025-10-04T09:00:00Z
15458,1759572000000,22,41,13.9,62,256,2025-10-04T10:00:00Z
15459,1759575600000,22,40,13.7,63,258,2025-10-04T11:00:00Z
15460,1759579200000,23,41,13.4,64,257,2025-10-04T12:00:00Z
