log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
14932,1757678400000,11,21,16.2,40,213,2025-09-12T12:00:00Z
14933,1757682000000,13,23,16.4,41,226,2025-09-12T13:00:00Z
14934,1757685600000,13,24,18.1,42,228,2025-09-12T14:00:00Z
14935,1757689200000,17,29,16.2,43,216,2025-09-12T15:00:00Z
14936,1757692800000,14,25,17.0,44,227,2025-09-12T16:00:00Z
14937,1757696400000,12,21,15.5,45,216,2025-09-12T17:00:00Z
14938,1757700000000,11,20,14.6,46,200,2025-09-12T18:00:00Z
14939,1757703600000,8,15,14.1,47,195,2025-09-12T19:00:00Z
14940,1757707200000,11,21,14.7,48,202,2025-09-12T20:00:00Z
14941,1757710800000,9,21,13.9,49,196,2025-09-12T21:00:00Z
14942,1757714400000,8,16,13.6,50,191,2025-09-12T22:00:00Z
14943,1757718000000,9,16,13.1,51,182,2025-09-12T23:00:00Z
14944,1757721600000,9,15,13.0,52,180,2025-09-13T00:00:00Z
14945,1757725200000,9,16,13.3,53,190,2025-09-13T01:00:00Z
14946,1757728800000,10,18,13.4,54,190,2025-09-13T02:00:00Z
14947,1757732400000,9,17,13.5,55,189,2025-09-13T03:00:00Z
14948,1757736000000,9,17,13.5,56,183,2025-09-13T04:00:00Z
14949,1757739600000,10,18,13.2,57,183,2025-09-13T05:00:00Z
14950,1757743200000,9,18,13.4,58,188,2025-09-13T06:00:00Z
14951,1757746800000,12,21,13.9,59,201,2025-09-13T07:00:00Z
14952,1757750400000,13,24,14.7,60,202,2025-09-13T08:00:00Z
14953,1757754000000,12,25,15.0,61,201,2025-09-13T09:00:00Z
14954,1757757600000,13,24,15.2,62,206,2025-09-13T10:00:00Z
14955,1757761200000,11,24,15.5,63,200,2025-09-13T11:00:00Z
14956,1757764800000,11,20,14.7,64,191,2025-09-13T12:00:00Z
