log_id,timestamp,AverageWind,MaxWind,MinWind,WaterTemperatuur,AccuTemperatuur,row_id,longitude,latitude,WindDirection,iso_time
322580,1764033184000,0,0,0,0,1.5,439,0,0,206,2025-11-25T01:13:04Z
322582,1764033724000,0,0,0,0,1.5,440,0,0,206,2025-11-25T01:22:04Z
322583,1764033904000,0,0,0,0,1.5,441,0,0,206,2025-11-25T01:25:04Z
322584,1764034264000,0,0,0,0,1.5,442,0,0,206,2025-11-25T01:31:04Z
322585,1764034624000,0,0,0,0,1.5,443,0,0,206,2025-11-25T01:37:04Z
322586,1764035164000,0,0,0,0,1.5,444,0,0,206,2025-11-25T01:46:04Z
322587,1764035344000,0,0,0,0,1.5,445,0,0,206,2025-11-25T01:49:04Z
322588,1764036064000,0,0,0,0,1.5,446,0,0,206,2025-11-25T02:01:04Z
322589,1764036605000,0,0,0,0,1.5,447,0,0,206,2025-11-25T02:10:05Z
322590,1764036784000,0,0,0,0,1.5,448,0,0,206,2025-11-25T02:13:04Z
322591,1764036964000,0,0,0,0,1.5,449,0,0,206,2025-11-25T02:16:04Z
322592,1764037504000,0,0,0,0,1.5,450,0,0,206,2025-11-25T02:25:04Z
322593,1764038044000,0,0,0,0,1.5,451,0,0,206,2025-11-25T02:34:04Z
322594,1764038225000,0,0,0,0,1.5,452,0,0,206,2025-11-25T02:37:05Z
322595,1764038945000,0,0,0,0,1.5,453,0,0,206,2025-11-25T02:49:05Z
322596,1764039125000,0,0,0,0,1.5,454,0,0,206,2025-11-25T02:52:05Z
322597,1764039485000,1,2,1,0,1.0,455,0,0,206,2025-11-25T02:58:05Z
322598,1764039665000,1,2,0,0,1.0,456,0,0,206,2025-11-25T03:01:05Z
322599,1764040205000,0,0,0,0,1.0,457,0,0,206,2025-11-25T03:10:05Z
322600,1764040565000,0,0,0,0,1.0,458,0,0,206,2025-11-25T03:16:05Z
322601,1764040925000,0,0,0,0,1.0,459,0,0,206,2025-11-25T03:22:05Z
322602,1764041105000,0,0,0,0,1.0,460,0,0,206,2025-11-25T03:25:05Z
322603,1764041465000,0,0,0,0,1.0,461,0,0,206,2025-11-25T03:31:05Z
322604,1764041825000,0,0,0,0,1.0,462,0,0,206,2025-11-25T03:37:05Z
322605,1764042367000,0,0,0,0,1.0,463,0,0,206,2025-11-25T03:46:07Z
322606,1764042545000,0,0,0,0,0.5,464,0,0,206,2025-11-25T03:49:05Z
322607,1764042905000,0,0,0,0,0.5,465,0,0,206,2025-11-25T03:55:05Z
322608,1764043266000,0,0,0,0,0.5,466,0,0,206,2025-11-25T04:01:06Z
322609,1764043445000,0,0,0,0,0.5,467,0,0,206,2025-11-25T04:04:05Z
322610,1764043805000,0,0,0,0,0.5,468,0,0,205,2025-11-25T04:10:05Z
322611,1764044346000,0,0,0,0,0.5,469,0,0,206,2025-11-25T04:19:06Z
322612,1764044527000,0,0,0,0,0.5,470,0,0,206,2025-11-25T04:22:07Z
322614,1764045066000,1,2,1,0,0.5,471,0,0,206,2025-11-25T04:31:06Z
322615,1764045246000,1,2,1,0,0.5,472,0,0,206,2025-11-25T04:34:06Z
322616,1764045426000,1,2,1,0,0.5,473,0,0,206,2025-11-25T04:37:06Z
322617,1764045966000,1,2,1,0,0.5,474,0,0,206,2025-11-25T04:46:06Z
322618,1764046147000,1,1,1,0,0.5,475,0,0,206,2025-11-25T04:49:07Z
322619,1764046326000,0,1,0,0,0.5,476,0,0,206,2025-11-25T04:52:06Z
322620,1764046686000,0,0,0,0,0.5,477,0,0,206,2025-11-25T04:58:06Z
322621,1764046866000,0,0,0,0,0.5,478,0,0,206,2025-11-25T05:01:06Z
322622,1764047045000,0,0,0,0,0.5,479,0,0,206,2025-11-25T05:04:05Z
322623,1764047586000,0,0,0,0,0.5,480,0,0,206,2025-11-25T05:13:06Z
322624,1764047766000,0,0,0,0,1.0,1,0,0,206,2025-11-25T05:16:06Z
322625,1764048126000,2,2,1,0,1.0,2,0,0,206,2025-11-25T05:22:06Z
322626,1764048486000,1,1,1,0,1.0,3,0,0,206,2025-11-25T05:28:06Z
322627,1764049026000,0,2,0,0,1.0,4,0,0,206,2025-11-25T05:37:06Z
322628,1764049206000,1,3,0,0,1.0,5,0,0,206,2025-11-25T05:40:06Z
322629,1764049566000,0,1,0,0,1.0,6,0,0,200,2025-11-25T05:46:06Z
322630,1764049746000,0,0,0,0,1.0,7,0,0,199,2025-11-25T05:49:06Z
