log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
15916,1761220800000,14,26,11.3,16,174,2025-10-23T12:00:00Z
15917,1761224400000,14,26,11.1,17,158,2025-10-23T13:00:00Z
15918,1761228000000,12,25,10.3,18,159,2025-10-23T14:00:00Z
15919,1761231600000,10,22,9.9,19,131,2025-10-23T15:00:00Z
15920,1761235200000,5,17,9.7,20,121,2025-10-23T16:00:00Z
15921,1761238800000,2,8,9.9,21,352,2025-10-23T17:00:00Z
15922,1761242400000,3,5,9.2,22,263,2025-10-23T18:00:00Z
15923,1761246000000,4,6,9.6,23,230,2025-10-23T19:00:00Z
15924,1761249600000,25,46,11.7,24,291,2025-10-23T20:00:00Z
15925,1761253200000,34,61,11.9,25,285,2025-10-23T21:00:00Z
15926,1761256800000,29,61,12.1,26,303,2025-10-23T22:00:00Z
15927,1761260400000,25,52,11.7,27,300,2025-10-23T23:00:00Z
15928,1761264000000,27,56,11.7,28,286,2025-10-24T00:00:00Z
15929,1761267600000,28,53,11.2,29,279,2025-10-24T01:00:00Z
15930,1761271200000,28,50,11.0,30,279,2025-10-24T02:00:00Z
15931,1761274800000,27,49,10.9,31,275,2025-10-24T03:00:00Z
15932,1761278400000,26,48,11.1,32,277,2025-10-24T04:00:00Z
15933,1761282000000,25,46,11.2,33,276,2025-10-24T05:00:00Z
15934,1761285600000,25,44,11.0,34,270,2025-10-24T06:00:00Z
15935,1761289200000,25,44,11.1,35,271,2025-10-24T07:00:00Z
15936,1761292800000,23,44,11.3,36,268,2025-10-24T08:00:00Z
15937,1761296400000,22,40,11.4,37,265,2025-10-24T09:00:00Z
15938,1761300000000,22,40,11.6,38,264,2025-10-24T10:00:00Z
15939,1761303600000,21,39,12.0,39,260,2025-10-24T11:00:00Z
15940,1761307200000,20,37,12.3,40,254,2025-10-24T12:00:00Z
