log_id,timestamp,AverageWind,MaxWind,MinWind,WaterTemperatuur,AccuTemperatuur,row_id,longitude,latitude,WindDirection,iso_time
294456,1757462410000,0,0,0,0,11.0,311,0,0,117,2025-09-10T00:00:10Z
294457,1757462590000,0,0,0,0,10.5,312,0,0,117,2025-09-10T00:03:10Z
294458,1757462770000,0,1,0,0,10.5,313,0,0,117,2025-09-10T00:06:10Z
294459,1757462950000,1,2,0,0,11.0,314,0,0,117,2025-09-10T00:09:10Z
294461,1757463311000,2,3,1,0,11.0,315,0,0,117,2025-09-10T00:15:11Z
294462,1757463491000,2,3,1,0,11.0,316,0,0,117,2025-09-10T00:18:11Z
294463,1757463671000,2,3,1,0,11.0,317,0,0,117,2025-09-10T00:21:11Z
294464,1757463852000,1,2,1,0,11.0,318,0,0,117,2025-09-10T00:24:12Z
294465,1757464030000,1,3,0,0,11.0,319,0,0,117,2025-09-10T00:27:10Z
294466,1757464211000,1,3,0,0,11.0,320,0,0,117,2025-09-10T00:30:11Z
294467,1757464391000,1,3,0,0,11.0,321,0,0,117,2025-09-10T00:33:11Z
294468,1757464573000,1,3,0,0,11.0,322,0,0,117,2025-09-10T00:36:13Z
294469,1757464751000,1,2,0,0,11.5,323,0,0,117,2025-09-10T00:39:11Z
294470,1757464932000,0,2,0,0,11.5,324,0,0,117,2025-09-10T00:42:12Z
294471,1757465112000,0,2,0,0,11.5,325,0,0,117,2025-09-10T00:45:12Z
294472,1757465291000,0,0,0,0,11.5,326,0,0,117,2025-09-10T00:48:11Z
294473,1757465471000,0,1,0,0,11.0,327,0,0,117,2025-09-10T00:51:11Z
294474,1757465651000,1,3,0,0,11.0,328,0,0,117,2025-09-10T00:54:11Z
294475,1757465831000,2,3,1,0,11.0,329,0,0,117,2025-09-10T00:57:11Z
294476,1757466011000,2,3,1,0,11.5,330,0,0,117,2025-09-10T01:00:11Z
294477,1757466191000,2,3,1,0,11.5,331,0,0,117,2025-09-10T01:03:11Z
294478,1757466371000,2,4,1,0,11.5,332,0,0,117,2025-09-10T01:06:11Z
294479,1757466551000,2,3,0,0,11.5,333,0,0,117,2025-09-10T01:09:11Z
294480,1757466731000,2,3,1,0,11.5,334,0,0,117,2025-09-10T01:12:11Z
294482,1757467092000,2,3,1,0,11.5,335,0,0,117,2025-09-10T01:18:12Z
294483,1757467271000,2,3,1,0,11.5,336,0,0,117,2025-09-10T01:21:11Z
294484,1757467451000,2,3,1,0,11.5,337,0,0,117,2025-09-10T01:24:11Z
294485,1757467646000,2,3,1,0,11.5,338,0,0,117,2025-09-10T01:27:26Z
294486,1757467811000,2,3,1,0,11.5,339,0,0,117,2025-09-10T01:30:11Z
294487,1757467991000,2,3,1,0,11.5,340,0,0,117,2025-09-10T01:33:11Z
294488,1757468171000,2,4,1,0,11.5,341,0,0,117,2025-09-10T01:36:11Z
294489,1757468351000,3,5,2,0,11.5,342,0,0,117,2025-09-10T01:39:11Z
294490,1757468531000,3,6,2,0,11.5,343,0,0,117,2025-09-10T01:42:11Z
294491,1757468711000,3,4,2,0,11.5,344,0,0,118,2025-09-10T01:45:11Z
