log_id,timestamp,WindForecastAvr,WindForecastMax,Temperature,row_id,WindDirection,iso_time
15124,1758369600000,6,10,18.8,16,223,2025-09-20T12:00:00Z
15125,1758373200000,4,8,18.6,17,148,2025-09-20T13:00:00Z
15126,1758376800000,4,10,19.1,18,197,2025-09-20T14:00:00Z
15127,1758380400000,7,13,19.8,19,191,2025-09-20T15:00:00Z
15128,1758384000000,9,18,19.4,20,188,2025-09-20T16:00:00Z
15129,1758387600000,8,14,19.8,21,170,2025-09-20T17:00:00Z
15130,1758391200000,11,18,19.7,22,183,2025-09-20T18:00:00Z
15131,1758394800000,10,18,19.5,23,186,2025-09-20T19:00:00Z
15132,1758398400000,12,20,19.7,24,191,2025-09-20T20:00:00Z
15133,1758402000000,13,22,19.6,25,210,2025-09-20T21:00:00Z
15134,1758405600000,13,31,18.9,26,217,2025-09-20T22:00:00Z
15135,1758409200000,13,25,18.0,27,217,2025-09-20T23:00:00Z
15136,1758412800000,15,27,17.7,28,216,2025-09-21T00:00:00Z
15137,1758416400000,15,28,16.8,29,217,2025-09-21T01:00:00Z
15138,1758420000000,15,29,16.3,30,215,2025-09-21T02:00:00Z
15139,1758423600000,15,28,16.1,31,222,2025-09-21T03:00:00Z
15140,1758427200000,18,33,15.3,32,238,2025-09-21T04:00:00Z
15141,1758430800000,18,34,14.6,33,246,2025-09-21T05:00:00Z
15142,1758434400000,16,33,14.5,34,249,2025-09-21T06:00:00Z
15143,1758438000000,15,29,14.7,35,250,2025-09-21T07:00:00Z
15144,1758441600000,14,27,15.2,36,309,2025-09-21T08:00:00Z
15145,1758445200000,14,28,15.0,37,317,2025-09-21T09:00:00Z
15146,1758448800000,12,27,15.2,38,323,2025-09-21T10:00:00Z
15147,1758452400000,12,23,14.7,39,324,2025-09-21T11:00:00Z
15148,1758456000000,12,22,15.4,40,326,2025-09-21T12:00:00Z
