timestamp,WindForecastAvr,WindForecastMax,Temperature,Pressure,WindDirection,Rain,RH,Clouds,low_cloud_cover,medium_cloud_cover,high_cloud_cover,cloud_base,global_radiation,iso_time
1768658400000,3,6,11.2,1018,146,0,77,38,0,0,38,9999,0,2026-01-17T14:00:00Z
1768662000000,2,4,10.3,1018,15,0,82,66,0,0,66,9422,0,2026-01-17T15:00:00Z
1768665600000,5,6,9.7,1018,105,0,82,34,11,0,25,9999,0,2026-01-17T16:00:00Z
1768669200000,6,8,8.2,1019,101,0,87,95,0,0,95,9999,0,2026-01-17T17:00:00Z
1768672800000,5,7,7.0,1019,103,0,92,92,0,0,92,9999,0,2026-01-17T18:00:00Z
1768676400000,3,5,6.3,1020,74,0,92,100,0,0,100,8804,0,2026-01-17T19:00:00Z
1768680000000,6,9,5.8,1020,74,0,92,100,0,0,100,9125,0,2026-01-17T20:00:00Z
1768683600000,3,3,5.0,1020,65,0,92,99,0,0,99,9800,0,2026-01-17T21:00:00Z
1768687200000,4,5,4.7,1020,97,0,94,100,0,0,100,9812,0,2026-01-17T22:00:00Z
1768690800000,4,6,4.2,1021,84,0,92,98,0,0,98,9817,0,2026-01-17T23:00:00Z
1768694400000,3,6,3.9,1021,67,0,91,100,0,0,100,7656,0,2026-01-18T00:00:00Z
1768698000000,4,6,3.5,1021,81,0,91,9,0,0,9,9999,0,2026-01-18T01:00:00Z
1768701600000,4,7,3.2,1021,68,0,91,96,0,0,96,9824,0,2026-01-18T02:00:00Z
1768705200000,4,8,3.2,1021,93,0,89,99,0,0,99,10544,0,2026-01-18T03:00:00Z
1768708800000,4,6,2.7,1020,83,0,89,100,0,0,100,9484,0,2026-01-18T04:00:00Z
1768712400000,4,6,2.6,1020,74,0,89,100,0,0,100,8527,0,2026-01-18T05:00:00Z
1768716000000,4,7,2.6,1021,85,0,89,100,0,0,100,7939,0,2026-01-18T06:00:00Z
1768719600000,5,8,2.8,1021,87,0,87,100,0,0,100,7941,0,2026-01-18T07:00:00Z
1768723200000,5,9,2.5,1021,94,0,88,99,0,0,99,8232,4544,2026-01-18T08:00:00Z
1768726800000,4,9,3.2,1021,97,0,84,97,0,0,97,8533,56994,2026-01-18T09:00:00Z
1768730400000,4,7,4.5,1021,102,0,75,73,0,0,73,9999,49932,2026-01-18T10:00:00Z
1768734000000,4,8,5.9,1021,100,0,70,15,0,0,15,9999,56112,2026-01-18T11:00:00Z
1768737600000,5,9,6.9,1020,102,0,66,0,0,0,0,9999,3168,2026-01-18T12:00:00Z
1768741200000,5,10,7.6,1020,98,0,63,0,0,0,0,9999,2556,2026-01-18T13:00:00Z
1768744800000,6,10,8.1,1019,100,0,62,0,0,0,0,9999,34978,2026-01-18T14:00:00Z
1768748400000,6,11,7.6,1019,96,0,65,0,0,0,0,9999,43991,2026-01-18T15:00:00Z
1768752000000,5,10,6.4,1019,101,0,71,0,0,0,0,9999,48877,2026-01-18T16:00:00Z
1768755600000,5,8,5.1,1019,104,0,78,0,0,0,0,9999,48927,2026-01-18T17:00:00Z
1768759200000,5,8,4.0,1019,100,0,82,0,0,0,0,9999,48927,2026-01-18T18:00:00Z
1768762800000,6,10,3.2,1019,103,0,83,0,0,0,0,9999,48927,2026-01-18T19:00:00Z
1768766400000,6,11,2.6,1019,112,0,85,0,0,0,0,9999,48927,2026-01-18T20:00:00Z
1768770000000,4,10,2.0,1019,99,0,88,0,0,0,0,9999,48927,2026-01-18T21:00:00Z
1768773600000,3,7,1.4,1019,84,0,88,0,0,0,0,9999,48927,2026-01-18T22:00:00Z
1768777200000,4,6,1.2,1019,79,0,89,0,0,0,0,9999,48927,2026-01-18T23:00:00Z
1768780800000,5,8,1.2,1018,92,0,90,0,0,0,0,9999,48927,2026-01-19T00:00:00Z
1768784400000,6,10,1.4,1018,103,0,89,26,0,10,18,9999,48927,2026-01-19T01:00:00Z
1768788000000,6,11,1.9,1017,120,0,88,45,0,39,10,9999,48927,2026-01-19T02:00:00Z
1768791600000,4,10,1.5,1017,157,0,90,30,0,17,15,9999,48927,2026-01-19T03:00:00Z
1768795200000,3,6,1.4,1017,134,0,89,52,0,39,21,9999,48927,2026-01-19T04:00:00Z
1768798800000,3,6,1.4,1017,130,0,89,26,0,24,2,9999,48927,2026-01-19T05:00:00Z
1768802400000,4,6,1.3,1017,119,0,89,24,0,18,7,9999,48927,2026-01-19T06:00:00Z
1768806000000,4,7,1.3,1017,116,0,89,89,0,48,80,9778,48877,2026-01-19T07:00:00Z
1768809600000,5,8,1.1,1018,148,0,90,92,0,45,87,9435,54014,2026-01-19T08:00:00Z
1768813200000,4,8,1.8,1017,130,0,87,4,0,4,0,9999,56834,2026-01-19T09:00:00Z
1768816800000,4,7,2.9,1018,137,0,83,36,0,36,0,9999,45322,2026-01-19T10:00:00Z
1768820400000,4,7,4.4,1018,147,0,79,51,0,51,0,9999,30761,2026-01-19T11:00:00Z
1768824000000,4,8,5.8,1018,162,0,76,88,0,17,85,9999,20330,2026-01-19T12:00:00Z
1768827600000,4,7,6.9,1018,140,0,74,94,0,63,85,9999,16438,2026-01-19T13:00:00Z
1768831200000,4,7,7.4,1018,145,0,75,87,0,66,64,9999,44384,2026-01-19T14:00:00Z
1768834800000,4,7,7.6,1018,148,0,75,99,0,99,70,3538,11910,2026-01-19T15:00:00Z
1768838400000,4,7,7.0,1018,147,0,78,100,0,100,100,3383,6619,2026-01-19T16:00:00Z
1768842000000,4,7,6.5,1018,159,0,80,97,0,73,92,9999,6619,2026-01-19T17:00:00Z
1768845600000,5,8,6.0,1018,146,0,83,100,1,100,97,3862,6619,2026-01-19T18:00:00Z
1768849200000,4,8,5.5,1018,143,0,86,94,0,39,91,9999,6619,2026-01-19T19:00:00Z
1768852800000,5,7,5.0,1018,139,0,88,98,0,94,78,2931,6619,2026-01-19T20:00:00Z
1768856400000,4,7,4.5,1018,140,0,88,99,0,99,19,2931,6619,2026-01-19T21:00:00Z
1768860000000,5,8,4.6,1018,131,0,86,100,0,100,0,2931,6619,2026-01-19T22:00:00Z
1768863600000,5,9,4.4,1019,144,0,87,87,0,87,0,3074,6619,2026-01-19T23:00:00Z
1768867200000,5,8,3.5,1019,134,0,89,0,0,0,0,9999,6619,2026-01-20T00:00:00Z
1768870800000,4,7,2.7,1019,153,0,90,1,0,1,0,9999,6619,2026-01-20T01:00:00Z
1768874400000,4,7,2.4,1018,138,0,90,11,0,10,0,9999,6619,2026-01-20T02:00:00Z
1768878000000,4,7,2.5,1018,122,0,89,99,0,99,0,3222,6619,2026-01-20T03:00:00Z
1768881600000,4,7,2.9,1018,123,0,88,58,0,58,0,9999,6619,2026-01-20T04:00:00Z
1768885200000,5,8,2.0,1018,126,0,89,97,0,78,90,3071,6619,2026-01-20T05:00:00Z
1768888800000,4,8,1.8,1019,122,0,89,37,0,6,33,9999,6619,2026-01-20T06:00:00Z
1768892400000,4,8,1.4,1019,129,0,88,1,0,1,0,9999,6454,2026-01-20T07:00:00Z
1768896000000,4,7,1.3,1019,131,0,87,3,0,0,3,9999,13409,2026-01-20T08:00:00Z
1768899600000,4,7,2.1,1019,118,0,85,16,0,0,16,9999,38641,2026-01-20T09:00:00Z
1768903200000,3,7,3.4,1019,115,0,80,76,0,0,76,9999,11051,2026-01-20T10:00:00Z
